"","Date","pred","sd","CI95up","CI95low","CI50up","CI50low","ts"
"1",2012-08-15 16:10:00,0,0,0,0,0,0,"2 min"
"2",2012-08-15 16:12:00,0,0,0,0,0,0,"2 min"
"3",2012-08-15 16:14:00,1.06710716238848,0.55001682971821,2.14512033952707,-0.0109060147501132,1.43808787646875,0.696126448308201,"2 min"
"4",2012-08-15 16:16:00,0.62637207288533,0.554935213007564,1.71402510413322,-0.461280958362559,1.00067018608181,0.252073959688849,"2 min"
"5",2012-08-15 16:18:00,0.792577133528566,0.506675046700388,1.78564197692648,-0.200487709869345,1.1343242592081,0.450830007849033,"2 min"
"6",2012-08-15 16:20:00,0.736456348429534,0.514326993407185,1.74451873178439,-0.271606034925319,1.08336463373185,0.38954806312722,"2 min"
"7",2012-08-15 16:22:00,6.04138670899327,0.564444165331718,7.1476769443272,4.93509647365933,6.42209851306749,5.66067490491904,"2 min"
"8",2012-08-15 16:24:00,11.553861803559,0.586861788904497,12.7040897737146,10.4036338334034,11.9496940649568,11.1580295421612,"2 min"
"9",2012-08-15 16:26:00,21.1631715740057,1.06874121678781,23.2578658677034,19.0684772803081,21.8840265703412,20.4423165776703,"2 min"
"10",2012-08-15 16:28:00,12.335641957933,1.12981167784717,14.5500321558262,10.1212517600397,13.0976883542927,11.5735955615732,"2 min"
"11",2012-08-15 16:30:00,10.5123040791863,0.495121332301688,11.4827240584751,9.54188409989749,10.8462583429272,10.1783498154454,"2 min"
"12",2012-08-15 16:32:00,7.48820595397979,0.801073623425102,9.05828140485799,5.91813050310159,8.02852190213246,6.94789000582712,"2 min"
"13",2012-08-15 16:34:00,5.25632496423173,0.462974736530902,6.16373877358421,4.34891115487924,5.56859667862155,4.9440532498419,"2 min"
"14",2012-08-15 16:36:00,1.42990010633684,0.787785479505203,2.97393127371065,-0.114131061036979,1.9612533376164,0.898546875057271,"2 min"
"15",2012-08-15 16:38:00,9.12465986708007,1.14600172006603,11.3707819646304,6.8785377695297,9.89762628097168,8.35169345318845,"2 min"
"16",2012-08-15 16:40:00,11.9925090273732,0.490863861521034,12.9545845172667,11.0304335374797,12.3235916707108,11.6614263840356,"2 min"
"17",2012-08-15 16:42:00,10.0511423274722,0.871040486335547,11.7583503097661,8.34393434517827,10.6386502075113,9.46363444743306,"2 min"
"18",2012-08-15 16:44:00,9.04241618269404,0.968884031553705,10.9413939897353,7.14343837565281,9.69591853110567,8.38891383428241,"2 min"
"19",2012-08-15 16:46:00,10.7393457549662,0.72605901400221,12.1623952730612,9.3162962368712,11.2290651179482,10.2496263919842,"2 min"
"20",2012-08-15 16:48:00,7.49948950764969,0.807359157246756,9.08188437844195,5.91709463685744,8.04404498393958,6.95493403135981,"2 min"
"21",2012-08-15 16:50:00,10.6305182589571,0.504086150184446,11.6185089584241,9.64252755949017,10.9705192004723,10.2905173174419,"2 min"
"22",2012-08-15 16:52:00,8.76870547172623,0.901768049723286,10.5361383715928,7.00127257185967,9.3769387783189,8.16047216513357,"2 min"
"23",2012-08-15 16:54:00,4.12158126015676,0.823944389616103,5.73648258906816,2.50667993124536,4.67732330568439,3.56583921462914,"2 min"
"24",2012-08-15 16:56:00,3.42673613121575,0.713150872640384,4.82448615713421,2.02898610529728,3.90774908515508,2.94572317727642,"2 min"
"25",2012-08-15 16:58:00,3.77418157237824,0.954654777833807,5.64527055460158,1.90309259015489,4.41808643500286,3.13027670975361,"2 min"
"26",2012-08-15 17:00:00,23.1805449858881,2.7136507794414,28.4992027802123,17.861887191564,25.010874622233,21.3502153495433,"2 min"
"27",2012-08-15 17:02:00,31.1854895938207,1.50409025783379,34.1334523286725,28.2375268589689,32.1999830560994,30.1709961315421,"2 min"
"28",2012-08-15 17:04:00,48.170761627114,4.03662181452502,56.0823950027918,40.2591282514363,50.8934216664291,45.448101587799,"2 min"
"29",2012-08-15 17:06:00,47.5771644710911,3.1109932219864,53.6745991423326,41.4797297998495,49.6754975122504,45.4788314299318,"2 min"
"30",2012-08-15 17:08:00,31.7691203359271,0.867212804463263,33.4688261996071,30.0694144722472,32.3540464837764,31.1841941880779,"2 min"
"31",2012-08-15 17:10:00,30.1611903878653,1.39211259792543,32.8896809422236,27.432699833507,31.1001560662848,29.2222247094457,"2 min"
"32",2012-08-15 17:12:00,14.6546654264101,1.30119790196273,17.2049664510161,12.104364401804,15.5323100742606,13.7770207785596,"2 min"
"33",2012-08-15 17:14:00,9.45321175362658,0.698965903688254,10.8231597512771,8.08326375597611,9.92465709140085,8.98176641585232,"2 min"
"34",2012-08-15 17:16:00,5.60114039330315,0.366772292422727,6.32000087697888,4.88227990962741,5.8485245451982,5.3537562414081,"2 min"
"35",2012-08-15 17:18:00,2.57128390871863,0.680948448484714,3.9059183430771,1.23664947436016,3.03057665763349,2.11199115980376,"2 min"
"36",2012-08-15 17:20:00,2.99996721310774,0.844146196779171,4.65446335648138,1.34547106973411,3.5693351705023,2.43059925571319,"2 min"
"37",2012-08-15 17:22:00,3.34159603887167,0.647596991784129,4.61086281926505,2.0723292584783,3.77839357208789,2.90479850565546,"2 min"
"38",2012-08-15 17:24:00,0.856990066573636,0.516427296988621,1.8691689693047,-0.155188836157431,1.20531498511393,0.508665148033343,"2 min"
"39",2012-08-15 17:26:00,4.34781445880578,0.845827471315525,6.0056058397188,2.69002307789277,4.91831641864237,3.77731249896919,"2 min"
"40",2012-08-15 17:28:00,9.42794989877205,0.37668553564341,10.1662399821303,8.68965981541379,9.68202043161065,9.17387936593345,"2 min"
