"","np","dist","gamma","dir.hor","dir.ver","id"
"1",5312,21.0950231097271,1.10007593916591,0,0,"var1"
"2",5312,48.2700735445848,1.04586894438332,0,0,"var1"
"3",26560,80.5350277676244,1.04803971793127,0,0,"var1"
"4",42496,118.478362504809,1.09392997959831,0,0,"var1"
"5",5312,157.537297171189,1.12599726158122,0,0,"var1"
"6",21248,214.332932938346,1.0754669935956,0,0,"var1"
"7",15936,282.493034515083,1.12009045998724,0,0,"var1"
"8",10624,313.598261814332,1.10326877044093,0,0,"var1"
"9",15936,372.731680381318,1.10784849678643,0,0,"var1"
"10",877,21.0950231097289,0.914131511646123,0,0,"var1"
"11",877,48.2700735445884,0.971894310982736,0,0,"var1"
"12",4385,80.5350277676231,1.11768328649131,0,0,"var1"
"13",7016,118.478362504792,1.07961526142726,0,0,"var1"
"14",877,157.537297171178,0.940116765713165,0,0,"var1"
"15",3508,214.332932938367,1.14887790122549,0,0,"var1"
"16",2631,282.493034515099,1.45786517392754,0,0,"var1"
"17",1754,313.598261814336,1.22474570268036,0,0,"var1"
"18",2631,372.731680381347,1.14264083066182,0,0,"var1"
"19",253,21.0950231097289,0.784131623437258,0,0,"var1"
"20",253,48.2700735445887,0.957184425747498,0,0,"var1"
"21",1265,80.5350277676208,1.01139724803647,0,0,"var1"
"22",2024,118.478362504789,1.0485426775921,0,0,"var1"
"23",253,157.537297171177,0.971585532067306,0,0,"var1"
"24",1012,214.332932938361,1.24639750527741,0,0,"var1"
"25",759,282.493034515093,1.42351547839946,0,0,"var1"
"26",506,313.598261814337,1.25674885453716,0,0,"var1"
"27",759,372.731680381351,1.30123405824835,0,0,"var1"
"28",72,21.095023109729,0.701350898074239,0,0,"var1"
"29",72,48.2700735445887,0.833995068038583,0,0,"var1"
"30",360,80.5350277676219,0.968875757681586,0,0,"var1"
"31",576,118.478362504792,1.0517273465817,0,0,"var1"
"32",72,157.537297171178,0.987979306561434,0,0,"var1"
"33",288,214.332932938359,1.23693296863097,0,0,"var1"
"34",216,282.493034515091,1.30261680693597,0,0,"var1"
"35",144,313.598261814338,1.23668877712644,0,0,"var1"
"36",216,372.73168038135,1.56409366585365,0,0,"var1"
"37",36,21.095023109729,0.443048533557505,0,0,"var1"
"38",36,48.2700735445887,0.984314986290386,0,0,"var1"
"39",180,80.535027767622,0.943293212352679,0,0,"var1"
"40",288,118.478362504791,1.04253526298518,0,0,"var1"
"41",36,157.537297171178,1.02986704504149,0,0,"var1"
"42",144,214.332932938359,1.16539589915316,0,0,"var1"
"43",108,282.493034515092,1.27198232276965,0,0,"var1"
"44",72,313.598261814337,1.44774610917936,0,0,"var1"
"45",108,372.73168038135,1.62635146811128,0,0,"var1"
"46",16,21.095023109729,0.777355658718164,0,0,"var1"
"47",16,48.2700735445887,1.26934364718774,0,0,"var1"
"48",80,80.5350277676219,0.950576748463506,0,0,"var1"
"49",128,118.478362504791,1.01428332184008,0,0,"var1"
"50",16,157.537297171178,1.00605780514737,0,0,"var1"
"51",64,214.332932938359,1.17811155378649,0,0,"var1"
"52",48,282.493034515092,1.0616774781139,0,0,"var1"
"53",32,313.598261814337,1.55013831010499,0,0,"var1"
"54",48,372.73168038135,1.54816297233008,0,0,"var1"
"55",12,21.095023109729,0.212546575402891,0,0,"var1"
"56",12,48.2700735445887,1.24767808178792,0,0,"var1"
"57",60,80.535027767622,0.953535950404518,0,0,"var1"
"58",96,118.478362504791,0.868210392743945,0,0,"var1"
"59",12,157.537297171178,0.812155947854201,0,0,"var1"
"60",48,214.332932938359,1.06267397969211,0,0,"var1"
"61",36,282.493034515092,1.59015895625149,0,0,"var1"
"62",24,313.598261814337,1.22330724686927,0,0,"var1"
"63",36,372.73168038135,1.98921992965448,0,0,"var1"
"64",5,21.095023109729,0.407465259959953,0,0,"var1"
"65",5,48.2700735445887,0.891845420345309,0,0,"var1"
"66",25,80.535027767622,0.942048393846563,0,0,"var1"
"67",40,118.478362504791,0.811365270431778,0,0,"var1"
"68",5,157.537297171178,0.273738109788369,0,0,"var1"
"69",20,214.332932938359,1.25315365894642,0,0,"var1"
"70",15,282.493034515092,1.94402504658869,0,0,"var1"
"71",10,313.598261814337,1.93830497594906,0,0,"var1"
"72",15,372.73168038135,1.12850185236459,0,0,"var1"
"73",26,21.095023109729,0.520566634448599,0,0,"var1"
"74",26,48.2700735445887,0.837226480118603,0,0,"var1"
"75",130,80.535027767622,0.91990279675554,0,0,"var1"
"76",208,118.478362504791,0.939907393344094,0,0,"var1"
"77",26,157.537297171178,0.942162405202343,0,0,"var1"
"78",104,214.332932938359,1.12784897693319,0,0,"var1"
"79",78,282.493034515092,1.57520063940508,0,0,"var1"
"80",52,313.598261814337,1.18960596780633,0,0,"var1"
"81",78,372.73168038135,1.89891903511646,0,0,"var1"
