"","X1","X2","X3","X4","X5","X6","X7","X8"
"2012-04-25 11:35:00",0,0,0,0,0,0,0,0
"2012-04-25 11:50:00",3.95,4.776,5.228,4.752,4.764,5.642,5.628,4.06
"2012-04-25 12:05:00",2.37,2.79,2.012,2.77,3.176,2.418,2.412,2.03
"2012-04-25 12:20:00",2.37,2.388,2.412,1.982,2.382,2.418,2.412,2.436
"2012-04-25 12:35:00",0.79,0.796,1.204,1.584,0.794,1.612,1.208,1.218
"2012-04-25 12:50:00",2.37,2.388,2.012,2.376,2.382,2.418,2.412,2.03
"2012-04-25 13:05:00",2.37,3.586,3.62,3.562,3.97,3.626,3.616,2.436
"2012-04-25 13:20:00",5.924,6.368,6.032,7.128,6.352,6.852,6.836,5.684
"2012-04-25 13:35:00",3.556,3.98,4.02,3.96,3.97,4.03,4.02,4.06
"2012-04-25 13:50:00",2.764,3.184,3.216,3.168,3.176,4.03,3.62,3.248
"2012-04-25 14:05:00",2.766,2.79,2.816,3.168,3.176,3.224,2.812,2.436
"2012-04-25 14:20:00",3.554,3.98,4.42,3.562,3.97,4.03,4.02,4.06
"2012-04-25 14:35:00",3.16,3.586,3.62,3.96,3.572,4.03,4.02,3.248
"2012-04-25 14:50:00",3.556,4.382,4.42,4.354,4.368,4.836,4.424,4.06
"2012-04-25 15:05:00",4.344,4.776,4.824,4.358,3.97,4.836,4.824,4.872
"2012-04-25 15:20:00",3.556,3.586,4.02,3.96,3.97,4.434,4.02,3.248
"2012-04-25 15:35:00",3.16,3.578,3.216,3.562,3.572,3.626,3.216,3.248
"2012-04-25 15:50:00",1.974,1.994,2.412,2.376,1.986,2.418,2.412,2.436
"2012-04-25 16:05:00",1.186,0.796,0.804,0.792,1.19,1.21,0.804,0.812
"2012-04-25 16:20:00",0.394,0.796,0.404,0.792,0.794,0.402,0.804,0.406
"2012-04-25 16:35:00",0.79,0.796,1.204,0.792,1.192,1.21,0.804,0.812
"2012-04-25 16:50:00",1.58,1.994,1.608,1.584,1.588,2.014,1.608,1.218
"2012-04-25 17:05:00",0.79,0.796,0.404,0.792,0.794,0.806,1.208,0.812
"2012-04-25 17:20:00",1.186,1.19,1.608,0.792,1.19,1.21,1.204,1.218
"2012-04-25 17:35:00",0.394,0.402,0.404,0.792,0.794,0.806,0.804,0.406
"2012-04-25 17:50:00",0.79,0.796,0.4,0.394,0.398,0.402,0,0
"2012-04-25 18:05:00",0,0,0,0,0,0,0,0.406
"2012-04-25 18:20:00",0,0,0,0,0,0,0,0
