"","X","X1","X2","X3","X4","X5","X6","X7","X8","mean"
"11","2012-04-18 12:20:00",4.344,4.382,4.42,4.752,4.368,4.836,4.424,4.466,4.499
"8","2012-04-25 13:20:00",5.924,6.368,6.032,7.128,6.352,6.852,6.836,5.684,6.397
"12","2012-05-09 19:45:00",3.16,3.578,3.616,3.168,3.184,3.626,3.216,3.248,3.3495
"22","2012-06-15 04:50:00",4.74,5.572,5.224,4.752,4.764,5.238,4.824,4.872,4.99825
"40","2012-06-22 22:55:00",9.084,7.566,6.84,7.132,7.146,6.046,7.64,6.09,7.193
"9","2012-07-06 10:00:00",16.986,19.104,18.492,19.008,19.452,18.538,18.492,15.022,18.13675
"4","2012-07-06 15:45:00",5.136,5.572,4.824,5.15,5.16,6.044,5.628,5.684,5.39975
"2","2012-07-07 19:35:00",37.526,36.616,33.768,34.45,33.744,38.286,35.776,37.352,35.93975
"41","2012-07-19 04:05:00",8.296,9.552,11.256,10.296,10.322,11.284,10.452,8.932,10.04875
"21","2012-08-05 16:50:00",46.21,51.716,42.208,46.684,48.426,37.89,50.248,41.006,45.5485
"5","2012-08-15 17:05:00",26.07,29.854,31.356,29.694,30.568,27.406,29.348,28.014,29.03875
"30","2013-05-15 04:25:00",5.2,4.776,5.228,5.544,5.558,4.764,5.572,4.872,5.18925
"3","2013-07-23 07:05:00",22.628,23.084,23.316,23.76,22.628,23.026,23.072,25.578,23.3865
"29","2013-07-28 04:35:00",22.628,22.288,20.504,22.18,21.438,19.056,20.684,20.706,21.1855
