"","X1","X2","X3","X4","X5","X6","X7","X8"
"2013-05-14 21:10:00",0,0,0,0,0,0,0,0
"2013-05-14 21:25:00",0.4,0.402,0,0,0,0.4,0.404,0.406
"2013-05-14 21:40:00",0.8,0.796,0.804,0.792,0.794,0.794,0.392,0.812
"2013-05-14 21:55:00",0,0.394,0,0.394,0.794,0.394,0.796,0
"2013-05-14 22:10:00",0.8,0.402,0.804,0.398,0,0.4,0.796,0.812
"2013-05-14 22:25:00",0.8,0.796,0.804,0.792,0.794,0.794,0.796,0.812
"2013-05-14 22:40:00",0.8,0.796,0.804,0.792,1.192,0.794,0.796,0.812
"2013-05-14 22:55:00",0.8,1.19,0.804,1.186,1.19,1.188,0.796,0.812
"2013-05-14 23:10:00",0.8,0.402,0.404,0.398,0,0.4,0.796,0.406
"2013-05-14 23:25:00",0.8,0.796,0.804,0.792,0.794,0.794,0.796,0.812
"2013-05-14 23:40:00",0.8,1.19,1.204,1.186,1.588,1.588,0.796,1.218
"2013-05-14 23:55:00",0.8,1.198,0.804,0.792,0.794,0.794,0.796,0.812
"2013-05-15 00:10:00",1.6,1.19,0.804,1.19,1.588,1.188,1.592,1.218
"2013-05-15 00:25:00",1.2,1.198,1.208,1.584,1.588,1.194,1.188,1.218
"2013-05-15 00:40:00",2,1.592,2.008,1.584,1.588,1.982,1.996,1.624
"2013-05-15 00:55:00",2.4,3.184,2.012,2.77,2.382,2.782,2.388,2.842
"2013-05-15 01:10:00",2.4,2.388,3.216,2.774,3.176,2.776,2.78,2.436
"2013-05-15 01:25:00",2.4,2.79,2.412,2.77,3.176,2.782,2.792,2.436
"2013-05-15 01:40:00",2.8,2.782,2.412,2.774,2.778,2.776,2.78,2.436
"2013-05-15 01:55:00",2.8,3.184,3.216,3.168,3.176,3.576,3.184,3.248
"2013-05-15 02:10:00",3.2,3.184,2.412,2.77,3.176,3.176,3.184,3.248
"2013-05-15 02:25:00",3.2,3.184,3.216,3.566,3.176,3.176,3.184,2.436
"2013-05-15 02:40:00",4,4.382,4.424,4.354,4.764,4.764,4.372,4.872
"2013-05-15 02:55:00",4.8,5.572,4.824,4.752,5.558,5.158,5.572,4.466
"2013-05-15 03:10:00",4.8,4.776,4.824,4.752,4.764,4.764,4.776,4.872
"2013-05-15 03:25:00",4,3.98,4.02,4.752,4.366,4.764,3.98,4.06
"2013-05-15 03:40:00",2.8,3.184,2.412,2.376,2.78,2.782,3.184,2.436
"2013-05-15 03:55:00",4.4,4.776,4.824,5.146,4.764,5.158,5.168,4.872
"2013-05-15 04:10:00",3.2,3.586,3.616,3.168,3.97,3.97,3.184,3.248
"2013-05-15 04:25:00",5.2,4.776,5.228,5.544,5.558,4.764,5.572,4.872
"2013-05-15 04:40:00",0.8,0.796,0.804,0.792,1.19,0.794,0.796,0.406
"2013-05-15 04:55:00",0,0.796,0.4,0.394,0.398,0.794,0.796,0.406
"2013-05-15 05:10:00",0,0,0,0.398,0,0,0,0
"2013-05-15 05:25:00",0,0,0,0,0,0,0,0
