"","X1","X2","X3","X4","X5","X6","X7","X8"
"2013-07-23 06:40:00",0,0,0,0,0,0,0,0
"2013-07-23 06:42:00",0,0,0,0,0,0,0,0
"2013-07-23 06:44:00",0,0,0,0,0,0,0,0
"2013-07-23 06:46:00",0,0,6.03,0,5.955,0,0,6.09
"2013-07-23 06:48:00",2.97,5.97,0,5.94,2.97,5.955,5.97,0
"2013-07-23 06:50:00",0,0,3.03,0,2.985,0,0,0
"2013-07-23 06:52:00",0,0,3,0,0,0,0,6.09
"2013-07-23 06:54:00",2.985,0,0,5.94,2.97,2.955,5.97,0
"2013-07-23 06:56:00",2.97,5.97,6.03,0,2.985,3,0,6.09
"2013-07-23 06:58:00",5.955,3.015,3.03,5.94,5.955,5.955,5.97,0
"2013-07-23 07:00:00",11.91,8.925,15.06,11.88,8.925,8.955,14.88,12.18
"2013-07-23 07:02:00",32.745,26.895,30.15,32.685,32.745,29.775,32.88,33.495
"2013-07-23 07:04:00",38.7,41.79,45.24,38.595,35.73,35.73,35.82,45.675
"2013-07-23 07:06:00",38.715,41.79,36.18,41.58,41.685,41.685,38.76,45.675
"2013-07-23 07:08:00",17.865,26.835,24.12,23.76,26.805,26.775,23.88,24.36
"2013-07-23 07:10:00",23.82,23.88,18.09,23.76,17.865,23.82,20.85,24.36
"2013-07-23 07:12:00",14.895,17.91,12.06,11.88,17.865,11.91,11.94,12.18
"2013-07-23 07:14:00",8.925,5.97,12.06,8.895,5.955,11.91,9,12.18
"2013-07-23 07:16:00",5.955,8.985,6.03,5.94,5.955,5.955,5.97,6.09
"2013-07-23 07:18:00",8.94,8.925,6.03,5.94,5.955,5.955,5.97,6.09
"2013-07-23 07:20:00",0,0,3,2.985,5.955,5.955,2.94,6.09
"2013-07-23 07:22:00",5.955,5.97,3.03,2.955,0,0,3.03,0
"2013-07-23 07:24:00",0,0,0,2.985,2.985,3,2.94,3.045
"2013-07-23 07:26:00",0,0,3,0,2.97,2.955,0,3.045
"2013-07-23 07:28:00",5.955,5.97,3.03,5.94,0,0,3.03,3.045
"2013-07-23 07:30:00",5.955,5.97,6.03,5.94,11.91,8.955,8.91,6.09
"2013-07-23 07:32:00",8.925,8.985,12.06,11.88,5.955,8.91,9,9.135
"2013-07-23 07:34:00",8.94,11.94,12.06,11.88,11.91,11.91,8.91,12.18
"2013-07-23 07:36:00",2.97,5.97,6.03,5.94,5.955,5.955,5.97,6.09
"2013-07-23 07:38:00",2.985,2.955,0,0,5.955,3,3.03,3.045
"2013-07-23 07:40:00",2.97,5.97,6.03,5.94,0,2.955,2.94,3.045
"2013-07-23 07:42:00",2.985,3.015,6.03,5.94,5.955,5.955,5.97,3.045
"2013-07-23 07:44:00",8.925,5.97,6.03,5.94,8.925,5.955,5.97,6.09
"2013-07-23 07:46:00",2.985,8.925,9.06,8.895,5.955,5.955,5.97,9.135
"2013-07-23 07:48:00",8.925,5.97,9.03,8.925,8.94,11.91,11.94,6.09
"2013-07-23 07:50:00",2.985,8.985,6.03,5.94,5.955,5.955,5.97,9.135
"2013-07-23 07:52:00",8.925,5.97,6.03,5.94,5.955,5.955,5.97,6.09
"2013-07-23 07:54:00",5.955,8.925,9.06,8.895,8.925,5.955,5.97,6.09
"2013-07-23 07:56:00",5.955,5.97,9.03,8.925,8.94,11.91,8.91,6.09
"2013-07-23 07:58:00",2.985,5.97,6.03,2.955,2.97,0,3.03,6.09
"2013-07-23 08:00:00",2.97,3.015,0,2.985,2.985,5.955,2.94,3.045
"2013-07-23 08:02:00",0,0,3.03,2.955,0,0,3.03,3.045
"2013-07-23 08:04:00",5.955,2.955,3,2.985,5.955,5.955,0,0
"2013-07-23 08:06:00",0,5.97,6.03,2.955,2.97,0,5.97,6.09
"2013-07-23 08:08:00",2.985,3.015,0,2.985,2.985,5.955,0,0
"2013-07-23 08:10:00",2.97,0,3.03,0,0,0,5.97,6.09
"2013-07-23 08:12:00",0,2.955,3,2.955,2.97,0,0,0
"2013-07-23 08:14:00",2.985,0,0,0,0,5.955,0,0
"2013-07-23 08:16:00",0,3.015,0,0,2.985,0,0,0
"2013-07-23 08:18:00",2.97,0,0,2.985,0,0,0,3.045
"2013-07-23 08:20:00",0,0,0,0,0,0,2.94,3.045
"2013-07-23 08:22:00",0,0,0,0,0,0,0,0
"2013-07-23 08:24:00",0,0,0,0,0,0,0,0
