"","X1","X2","X3","X4","X5","X6","X7","X8"
"2012-04-18 09:50:00",0,0,0,0,0,0,0,0
"2012-04-18 10:05:00",0.79,1.592,0.804,1.584,1.19,0.806,0.804,1.218
"2012-04-18 10:20:00",1.58,0.796,0.804,0.792,0.794,1.612,0.804,0.812
"2012-04-18 10:35:00",0.79,1.198,1.608,1.186,1.192,0.806,1.608,1.218
"2012-04-18 10:50:00",1.58,1.592,1.608,1.19,1.588,1.612,1.608,1.218
"2012-04-18 11:05:00",0.79,0.796,0.804,0.792,0.794,0.806,0.804,0.812
"2012-04-18 11:20:00",2.37,2.388,2.412,2.77,2.382,3.224,2.412,2.436
"2012-04-18 11:35:00",2.37,2.79,3.216,2.774,3.176,2.418,3.216,2.842
"2012-04-18 11:50:00",1.976,1.986,1.608,1.978,1.588,2.418,2.012,2.03
"2012-04-18 12:05:00",3.16,3.586,3.62,3.566,3.572,3.224,3.616,3.248
"2012-04-18 12:20:00",4.344,4.382,4.42,4.752,4.368,4.836,4.424,4.466
"2012-04-18 12:35:00",3.556,3.184,3.62,3.562,3.572,4.03,3.616,3.654
"2012-04-18 12:50:00",2.37,1.994,2.008,2.376,2.382,2.418,2.012,1.624
"2012-04-18 13:05:00",1.974,2.388,2.012,1.584,1.986,1.612,2.412,2.03
"2012-04-18 13:20:00",1.976,1.994,2.412,2.376,2.382,2.418,2.412,2.436
"2012-04-18 13:35:00",2.764,2.388,2.412,3.168,2.382,2.82,2.412,2.03
"2012-04-18 13:50:00",1.58,2.388,2.412,1.584,2.382,2.016,2.008,2.03
"2012-04-18 14:05:00",1.976,1.592,1.608,2.376,1.588,2.418,2.012,2.03
"2012-04-18 14:20:00",3.554,3.586,3.216,2.77,3.176,3.224,3.216,2.842
"2012-04-18 14:35:00",3.95,3.586,3.62,3.96,3.97,4.03,4.02,4.06
"2012-04-18 14:50:00",2.766,2.388,2.816,2.376,3.176,2.418,2.812,2.842
"2012-04-18 15:05:00",2.764,2.79,3.216,3.168,2.78,3.224,3.216,2.436
"2012-04-18 15:20:00",3.16,3.184,3.216,3.168,3.572,3.224,3.216,2.436
"2012-04-18 15:35:00",1.976,1.592,1.608,1.584,1.986,1.612,2.012,1.624
"2012-04-18 15:50:00",0.79,1.198,1.208,0.792,1.19,1.21,1.204,0.812
"2012-04-18 16:05:00",0.394,0.394,0.4,0.792,0,0.402,0.404,0
"2012-04-18 16:20:00",0,0,0,0,0,0,0,0
