"","X1","X2","X3","X4","X5","X6","X7","X8"
"2012-08-05 16:40:00",0,0,0,0,0,0,0,0
"2012-08-05 16:45:00",1.182,1.182,1.212,0,0,0,0,0
"2012-08-05 16:50:00",35.55,59.676,55.464,50.994,51.198,48.378,59.088,45.066
"2012-08-05 16:55:00",101.898,94.29,69.948,89.058,94.08,65.292,91.656,77.952
"2012-08-05 17:00:00",56.892,64.5,54.276,72.558,76.254,79.776,57.9,59.682
"2012-08-05 17:05:00",11.85,13.146,21.708,20.202,16.674,14.508,15.672,13.398
"2012-08-05 17:10:00",15.408,21.492,18.096,21.396,21.438,22.974,21.708,18.27
"2012-08-05 17:15:00",3.552,3.594,2.412,4.764,4.77,6.042,2.412,2.436
"2012-08-05 17:20:00",1.188,2.388,2.412,2.376,2.382,2.418,2.412,2.436
"2012-08-05 17:25:00",0,0,0,0,0,1.206,0,1.218
"2012-08-05 17:30:00",0,0,0,0,0,0,0,0
