"","X1","X2","X3","X4","X5","X6","X7","X8"
"2012-07-19 03:10:00",0,0,0,0,0,0,0,0
"2012-07-19 03:40:00",2.765,2.388,2.01,2.573,2.58,2.418,2.412,2.436
"2012-07-19 04:10:00",8.098,9.154,9.85,9.108,9.33,9.672,9.446,8.323
"2012-07-19 04:40:00",5.925,5.572,5.426,5.743,5.756,5.642,5.628,5.887
"2012-07-19 05:10:00",2.37,2.388,2.412,2.376,2.382,2.419,2.412,2.03
"2012-07-19 05:40:00",1.185,1.194,1.206,1.188,1.191,1.007,1.206,1.218
"2012-07-19 06:10:00",0.395,0.398,0.402,0.396,0.397,0.403,0.402,0.406
"2012-07-19 06:40:00",0,0,0,0,0,0,0,0
