,pred,sd,CI95up,CI95low,CI50up,CI50low
74,3.405650369,0.046830629,3.497436715,3.313864023,3.437237148,3.37406359
75,1.781519234,0.042343697,1.864511355,1.698527114,1.810079624,1.752958845
76,1.073077531,0.033281331,1.13830774,1.007847322,1.095525447,1.050629615
77,4.06434247,0.047444623,4.157332222,3.971352718,4.096343382,4.032341558
78,4.893845095,0.082043978,5.054648337,4.733041853,4.949182917,4.838507272
79,2.556249237,0.045790781,2.645997518,2.466500955,2.587134649,2.525363824
80,1.889519019,0.032134418,1.952501321,1.826536717,1.911193355,1.867844684
81,0.696723556,0.019442531,0.734830218,0.658616895,0.709837344,0.683609768
82,3.96846574,0.027184372,4.02174613,3.91518535,3.98680132,3.95013016
83,10.63686362,0.21503282,11.0583202,10.21540703,10.78190105,10.49182618
84,5.545300497,0.052293629,5.647794127,5.442806868,5.580572014,5.51002898
85,12.67518705,0.351449971,13.36401634,11.98635777,12.91223645,12.43813765
86,4.226398266,0.039255626,4.303337879,4.149458652,4.252875783,4.199920748
87,2.504128848,0.034307208,2.57136974,2.436887955,2.527268708,2.480988988
88,4.535814415,0.048782409,4.63142618,4.440202651,4.56871765,4.502911181
89,1.792772982,0.031145532,1.853817103,1.731728862,1.813780324,1.77176564
90,1.496228872,0.019861931,1.535157542,1.457300202,1.509625541,1.482832203
91,2.281363665,0.033250243,2.346532943,2.216194387,2.303790613,2.258936717
92,4.314493288,0.042769862,4.398320678,4.230665898,4.343341122,4.285645454
93,4.339832211,0.043590585,4.425268188,4.254396235,4.369233614,4.310430808
94,4.086356853,0.027149172,4.139568251,4.033145454,4.104668691,4.068045015
95,2.673761707,0.036103969,2.744524186,2.602999229,2.698113464,2.64940995
96,3.555080077,0.040943666,3.635328187,3.474831966,3.58269616,3.527463994
97,0.067722093,0.015716904,0.098526658,0.036917528,0.078322984,0.057121203
98,21.09286079,0.308587069,21.69768034,20.48804125,21.30099961,20.88472198
99,2.691507897,0.015078769,2.721061742,2.661954053,2.701678373,2.681337422
100,1.087299679,0.020647513,1.127768061,1.046831297,1.101226215,1.073373143
101,2.441923589,0.031461513,2.503587023,2.380260156,2.463144058,2.420703121
102,9.087567237,0.174973234,9.430508474,8.744625999,9.20558489,8.969549584
103,5.692236149,0.050753096,5.791710388,5.592761909,5.726468591,5.658003706
104,2.31129739,0.018780065,2.34810564,2.274489139,2.323964351,2.298630429
105,1.172891045,0.009888411,1.192271974,1.153510116,1.179560677,1.166221413
106,0.400291549,0.00055944,0.40138803,0.399195067,0.400668885,0.399914212
107,39.5072301,1.312451723,42.07958821,36.93487199,40.39246534,38.62199487
108,1.045333689,0.042551685,1.12873346,0.961933918,1.074034364,1.016633013
109,6.646251219,0.112677563,6.867095185,6.425407253,6.722251081,6.570251357
110,18.69261415,0.388678102,19.45440923,17.93081907,18.95477355,18.43045475
111,5.312164194,0.15241173,5.610885695,5.013442693,5.414964343,5.209364045
112,2.442306861,0.020583887,2.482650539,2.401963184,2.456190482,2.42842324
113,0.543585421,0.014505989,0.572016637,0.515154206,0.553369562,0.533801281
114,0.41763888,0.020883152,0.458569105,0.376708655,0.431724352,0.403553408
115,0.814948662,0.010993098,0.836494737,0.793402586,0.822363393,0.80753393
116,0.725204996,0.014785086,0.754183231,0.69622676,0.735177385,0.715232607
117,0.999295655,0.022329701,1.043061065,0.955530246,1.01435681,0.984234501
118,1.074045613,0.020577958,1.11437767,1.033713557,1.087925235,1.060165991
119,1.51976871,0.013149456,1.545541169,1.49399625,1.528637883,1.510899537
120,2.660916843,0.020847754,2.70177769,2.620055996,2.674978439,2.646855247
121,2.654422278,0.029921331,2.713067009,2.595777546,2.674603909,2.634240646
122,3.13128486,0.024316514,3.178944353,3.083625368,3.1476861,3.114883621
123,3.787555849,0.021372985,3.82944613,3.745665568,3.801971708,3.77313999
124,4.922895149,0.030726708,4.98311839,4.862671908,4.943619998,4.902170299
125,3.467200281,0.028517125,3.523092819,3.411307743,3.486434789,3.447965772
126,4.157623615,0.032778066,4.221867444,4.093379785,4.179732084,4.135515145
127,2.91351581,0.035705715,2.983497725,2.843533894,2.937598948,2.889432671
128,0.25477885,0.021684026,0.29727876,0.212278941,0.269404503,0.240153197
129,12.53411988,0.21215429,12.94993465,12.11830511,12.67721578,12.39102399
130,5.955192339,0.076822125,6.105760936,5.804623741,6.007008074,5.903376603
131,5.01987561,0.094810299,5.205700382,4.834050839,5.083824185,4.955927035
132,0.366741251,0.013438715,0.393080649,0.340401853,0.375805527,0.357676975
133,0.799116496,0.000947296,0.800973162,0.79725983,0.799755438,0.798477555
134,1.713486629,0.020134852,1.752950214,1.674023044,1.72706738,1.699905877
135,2.603225336,0.023057887,2.648417964,2.558032708,2.618777645,2.587673028
136,0.986550504,0.024125773,1.03383615,0.939264857,1.00282309,0.970277917
137,3.199218985,0.022465937,3.243251412,3.155186559,3.214372029,3.184065941
138,8.224271414,0.100155237,8.420572072,8.027970757,8.291825095,8.156717733
139,4.871379894,0.020104733,4.910784447,4.83197534,4.88494033,4.857819457
140,2.198401582,0.028924497,2.255092554,2.141710611,2.217910859,2.178892306
141,2.585091999,0.017823368,2.620025158,2.550158841,2.597113678,2.573070321
142,5.983662057,0.059465927,6.100213133,5.867110981,6.023771215,5.943552898
143,1.768936059,0.030740992,1.829187296,1.708684823,1.789670543,1.748201575
144,0.844077644,0.013881886,0.871285639,0.816869648,0.853440833,0.834714454
145,5.974536185,0.076434015,6.124344102,5.824728269,6.026090145,5.922982226
146,14.91895221,0.315112863,15.53656207,14.30134235,15.1314926,14.70641181
147,11.03057322,0.228701253,11.47881944,10.582327,11.18482987,10.87631657
148,3.535680385,0.024537708,3.583773409,3.487587361,3.552230818,3.519129952
149,0.341184814,0.02190474,0.384117315,0.298252314,0.355959336,0.326410292
