"","X1","X2","X3","X4","X5","X6","X7","X8"
"2012-07-07 19:20:00",0,0,0,0,0,0,0,0
"2012-07-07 19:35:00",37.526,36.616,33.768,34.45,33.744,38.286,35.776,37.352
"2012-07-07 19:50:00",5.134,6.368,6.432,6.336,6.75,6.044,6.432,5.684
"2012-07-07 20:05:00",2.37,2.388,2.412,2.376,2.382,2.418,2.412,2.436
"2012-07-07 20:20:00",3.16,2.79,2.816,2.77,3.176,2.822,2.816,3.248
"2012-07-07 20:35:00",1.58,1.986,2.008,1.982,1.984,2.014,2.008,1.624
"2012-07-07 20:50:00",0.396,0.402,0.404,0.394,0.398,0.404,0.404,0
"2012-07-07 21:05:00",0,0,0,0,0,0,0,0
