"","model","psill","range","kappa","ang1","ang2","ang3","anis1","anis2"
"1","Nug",0.878941075436637,0,0,0,0,0,1,1
"2","Exp",1.27780419812149,754.618658896046,0.5,0,0,0,1,1
"3","Nug",0.67774097378263,0,0,0,0,0,1,1
"4","Exp",0.927941680212127,233.693477115517,0.5,0,0,0,1,1
"5","Nug",0.52058340638935,0,0,0,0,0,1,1
"6","Exp",1.66049203590846,354.064909745805,0.5,0,0,0,1,1
