,1,2,3,4,5,6,7,8
07/04/2012 08:35,0,0,0,0,0,0,0,0
07/04/2012 08:40,0,0,0,0,0,0,0,0
07/04/2012 08:45,0,0,0,0,0,0,0,0
07/04/2012 08:50,0,0,0,0,0,0,0,0
07/04/2012 08:55,0,0,0,0,0,0,0,0
07/04/2012 09:00,0,0,0,0,0,0,0,0
07/04/2012 09:05,0,0,0,0,0,0,0,0
07/04/2012 09:10,0,0,0,0,0,0,0,0
07/04/2012 09:15,0,0,0,0,0,0,0,0
07/04/2012 09:20,0,0,0,0,0,0,0,0
07/04/2012 09:25,0,0,0,0,0,0,0,0
07/04/2012 09:30,0,0,0,0,0,0,0,0
07/04/2012 09:35,0,0,0,0,0,0,0,0
07/04/2012 09:40,0,0,0,0,0,0,0,0
07/04/2012 09:45,0,0,0,0,0,0,0,0
07/04/2012 09:50,0,0,0,0,0,0,0,0
07/04/2012 09:55,0,0,0,0,0,0,0,0
07/04/2012 10:00,0,0,0,0,0,0,0,0
07/04/2012 10:05,0,0,0,0,0,0,0,0
07/04/2012 10:10,0,0,0,0,0,0,0,0
07/04/2012 10:15,0,0,0,0,0,0,0,0
07/04/2012 10:20,0,0,0,0,0,0,0,0
07/04/2012 10:25,0,0,0,0,0,0,0,0
07/04/2012 10:30,0,0,0,0,0,0,0,0
07/04/2012 10:35,0,0,0,0,0,0,0,0
07/04/2012 10:40,0,0,0,0,0,0,0,0
07/04/2012 10:45,0,0,0,0,0,0,0,0
07/04/2012 10:50,0,0,0,0,0,0,0,0
07/04/2012 10:55,0,0,0,0,0,0,0,0
07/04/2012 11:00,0,0,0,0,0,0,0,0
07/04/2012 11:05,0,0,0,0,0,0,0,0
07/04/2012 11:10,0,0,0,0,0,0,0,0
07/04/2012 11:15,0,0,0,0,0,0,0,0
07/04/2012 11:20,0,0,0,0,0,0,0,0
07/04/2012 11:25,0,0,0,0,0,0,0,0
07/04/2012 11:30,0,0,0,0,0,0,0,0
07/04/2012 11:35,0,0,0,0,0,0,0,0
07/04/2012 11:40,0,0,0,0,0,0,0,0
07/04/2012 11:45,0,0,0,0,0,0,0,0
07/04/2012 11:50,0,0,0,0,0,0,0,0
07/04/2012 11:55,0,0,0,0,0,0,0,0
07/04/2012 12:00,0,0,0,0,0,0,0,0
07/04/2012 12:05,0,0,0,0,0,0,0,0
07/04/2012 12:10,0,0,0,0,0,0,0,0
07/04/2012 12:15,0,0,0,0,0,0,0,0
07/04/2012 12:20,0,0,0,0,0,0,0,0
07/04/2012 12:25,0,0,0,0,0,0,0,0
07/04/2012 12:30,0,0,0,0,0,0,0,0
07/04/2012 12:35,0,0,0,0,0,0,0,0
07/04/2012 12:40,0,0,0,0,0,0,0,0
07/04/2012 12:45,0,0,0,0,0,0,0,0
07/04/2012 12:50,0,0,0,0,0,0,0,0
07/04/2012 12:55,0,0,0,0,0,0,0,0
07/04/2012 13:00,0,0,0,0,0,0,0,0
07/04/2012 13:05,0,0,0,0,0,0,0,0
