"","np","dist","gamma","dir.hor","dir.ver","id","ts","range"
"62",4848,313.598261814333,1.2441499433546,0,0,"var1","15 min","< 5.0 mm/h"
"63",7272,372.731680381393,1.23279881685315,0,0,"var1","15 min","< 5.0 mm/h"
"64",44,21.095023109729,0.539775454008942,0,0,"var1","15 min","5.0-10.0 mm/h"
"65",44,48.2700735445887,0.567607274818532,0,0,"var1","15 min","5.0-10.0 mm/h"
"66",220,80.535027767622,0.883865316045424,0,0,"var1","15 min","5.0-10.0 mm/h"
"67",352,118.478362504791,0.991473146243078,0,0,"var1","15 min","5.0-10.0 mm/h"
"68",44,157.537297171178,0.98970859995711,0,0,"var1","15 min","5.0-10.0 mm/h"
"69",176,214.332932938359,1.35102256833537,0,0,"var1","15 min","5.0-10.0 mm/h"
"70",132,282.493034515092,1.54992748485673,0,0,"var1","15 min","5.0-10.0 mm/h"
"71",88,313.598261814337,1.42694491418038,0,0,"var1","15 min","5.0-10.0 mm/h"
"72",132,372.73168038135,1.50508803377399,0,0,"var1","15 min","5.0-10.0 mm/h"
"73",15,21.095023109729,0.0783447391438164,0,0,"var1","15 min","> 10.0 mm/h"
"74",15,48.2700735445887,0.537049502502385,0,0,"var1","15 min","> 10.0 mm/h"
"75",75,80.5350277676219,0.956886086766418,0,0,"var1","15 min","> 10.0 mm/h"
"76",120,118.478362504791,0.923948603816507,0,0,"var1","15 min","> 10.0 mm/h"
"77",15,157.537297171178,0.781656299697301,0,0,"var1","15 min","> 10.0 mm/h"
"78",60,214.332932938359,1.16237410953812,0,0,"var1","15 min","> 10.0 mm/h"
"79",45,282.493034515092,1.73405822324439,0,0,"var1","15 min","> 10.0 mm/h"
"80",30,313.598261814337,1.52925545758764,0,0,"var1","15 min","> 10.0 mm/h"
"81",45,372.73168038135,1.69927368773548,0,0,"var1","15 min","> 10.0 mm/h"
"82",1548,21.0950231097295,0.98328164551146,0,0,"var1","30 min","< 5.0 mm/h"
"83",1548,48.2700735445885,0.871153017472809,0,0,"var1","30 min","< 5.0 mm/h"
"84",7740,80.5350277676238,1.08348873725601,0,0,"var1","30 min","< 5.0 mm/h"
"85",12384,118.478362504796,1.00301680320344,0,0,"var1","30 min","< 5.0 mm/h"
"86",1548,157.537297171184,0.982793518423717,0,0,"var1","30 min","< 5.0 mm/h"
"87",6192,214.332932938356,1.18962031391188,0,0,"var1","30 min","< 5.0 mm/h"
"88",4644,282.493034515093,1.37022457647728,0,0,"var1","30 min","< 5.0 mm/h"
"89",3096,313.598261814334,1.2605110037428,0,0,"var1","30 min","< 5.0 mm/h"
"90",4644,372.731680381376,1.26403229270696,0,0,"var1","30 min","< 5.0 mm/h"
"91",20,21.095023109729,0.230955169658885,0,0,"var1","30 min","5.0-10.0 mm/h"
"92",20,48.2700735445887,0.357501864630352,0,0,"var1","30 min","5.0-10.0 mm/h"
"93",100,80.5350277676219,0.829130541808538,0,0,"var1","30 min","5.0-10.0 mm/h"
"94",160,118.478362504791,0.906447618320825,0,0,"var1","30 min","5.0-10.0 mm/h"
"95",20,157.537297171178,0.555162021037735,0,0,"var1","30 min","5.0-10.0 mm/h"
"96",80,214.332932938359,1.32374302559386,0,0,"var1","30 min","5.0-10.0 mm/h"
"97",60,282.493034515092,1.63758457337988,0,0,"var1","30 min","5.0-10.0 mm/h"
"98",40,313.598261814337,1.57887985687545,0,0,"var1","30 min","5.0-10.0 mm/h"
"99",60,372.73168038135,1.93021869777437,0,0,"var1","30 min","5.0-10.0 mm/h"
"100",5,21.095023109729,0.0298319196184712,0,0,"var1","30 min","> 10.0 mm/h"
"101",5,48.2700735445887,0.859496632350595,0,0,"var1","30 min","> 10.0 mm/h"
"102",25,80.535027767622,1.42203353499739,0,0,"var1","30 min","> 10.0 mm/h"
"103",40,118.478362504791,1.15341954759162,0,0,"var1","30 min","> 10.0 mm/h"
"104",5,157.537297171178,0.873849434556811,0,0,"var1","30 min","> 10.0 mm/h"
"105",20,214.332932938359,0.820085047706372,0,0,"var1","30 min","> 10.0 mm/h"
"106",15,282.493034515092,1.38527825221922,0,0,"var1","30 min","> 10.0 mm/h"
"107",10,313.598261814337,0.955504664195375,0,0,"var1","30 min","> 10.0 mm/h"
"108",15,372.73168038135,1.17518632867668,0,0,"var1","30 min","> 10.0 mm/h"
