"","model","psill","range","kappa","ang1","ang2","ang3","anis1","anis2"
"1","Nug",1.11926669919572,0,0,0,0,0,1,1
"2","Exp",3.1021676910049,9538.49020770166,0.5,0,0,0,1,1
"3","Nug",0.819046454007991,0,0,0,0,0,1,1
"4","Exp",0.371878088072582,71.4203414195878,0.5,0,0,0,1,1
"5","Nug",0.691723109794294,0,0,0,0,0,1,1
"6","Exp",0.639677182102412,124.24338984057,0.5,0,0,0,1,1
"7","Nug",0.588442171452436,0,0,0,0,0,1,1
"8","Exp",0.83850438183822,142.494703286103,0.5,0,0,0,1,1
"9","Nug",0,0,0,0,0,0,1,1
"10","Exp",1.1498547255235,40.7727423938559,0.5,0,0,0,1,1
"11","Nug",0,0,0,0,0,0,1,1
"12","Exp",1.060586168208,15.3083456214801,0.5,0,0,0,1,1
"13","Nug",0,0,0,0,0,0,1,1
"14","Exp",1.24172226578146,63.6236389668261,0.5,0,0,0,1,1
"15","Nug",0,0,0,0,0,0,1,1
"16","Exp",1.04110333905058,39.6483152487953,0.5,0,0,0,1,1
"17","Nug",0.379364186789298,0,0,0,0,0,1,1
"18","Exp",1.09061820437198,133.400639843023,0.5,0,0,0,1,1
