"","X1","X2","X3","X4","X5","X6","X7","X8"
"2012-08-15 16:10:00",0,0,0,0,0,0,0,0
"2012-08-15 16:12:00",0,0,0,0,0,0,0,0
"2012-08-15 16:14:00",0,2.955,3,0,2.97,0,0,0
"2012-08-15 16:16:00",0,0,0,2.985,0,0,3.03,0
"2012-08-15 16:18:00",0,0,0,2.955,0,0,3,0
"2012-08-15 16:20:00",0,0,3.03,0,2.985,0,0,0
"2012-08-15 16:22:00",5.925,5.97,9.03,5.91,2.97,6.045,6.03,6.09
"2012-08-15 16:24:00",14.805,11.94,12.06,11.88,11.91,9.075,12.06,9.135
"2012-08-15 16:26:00",20.745,23.88,24.12,17.79,20.835,15.12,24.12,21.315
"2012-08-15 16:28:00",8.88,11.94,9.06,14.895,14.895,18.12,9.03,12.18
"2012-08-15 16:30:00",8.895,11.94,12.06,8.895,11.91,9.075,12.06,9.135
"2012-08-15 16:32:00",5.925,5.97,6.03,8.925,5.955,12.09,6.03,9.135
"2012-08-15 16:34:00",5.925,5.97,6.03,5.94,5.955,3.015,3.03,6.09
"2012-08-15 16:36:00",0,0,0,2.985,0,6.045,3,0
"2012-08-15 16:38:00",11.85,8.925,12.06,5.91,8.925,3.03,12.06,9.135
"2012-08-15 16:40:00",11.85,11.94,12.06,11.88,14.895,12.09,9.06,12.18
"2012-08-15 16:42:00",5.925,8.985,12.06,11.88,5.955,12.09,12.06,12.18
"2012-08-15 16:44:00",11.85,11.94,6.03,8.925,11.91,6.045,9.03,6.09
"2012-08-15 16:46:00",5.925,11.94,12.06,8.895,11.91,12.09,12.06,12.18
"2012-08-15 16:48:00",11.85,5.97,6.03,8.925,5.955,9.06,6.03,6.09
"2012-08-15 16:50:00",11.85,11.94,9.03,8.895,11.91,9.075,9.06,12.18
"2012-08-15 16:52:00",5.925,11.94,6.03,8.925,5.955,9.06,9.03,12.18
"2012-08-15 16:54:00",5.925,0,3.03,5.94,5.955,6.045,3.03,3.045
"2012-08-15 16:56:00",0,5.97,6.03,2.985,2.985,3.03,3,3.045
"2012-08-15 16:58:00",2.97,0,9.03,5.91,2.97,3.015,3.03,3.045
"2012-08-15 17:00:00",23.685,26.835,36.18,23.67,26.775,9.09,30.15,12.18
"2012-08-15 17:02:00",20.745,29.85,33.18,32.715,35.745,36.27,30.15,33.495
"2012-08-15 17:04:00",59.235,62.655,57.27,44.475,41.655,27.21,54.27,36.54
"2012-08-15 17:06:00",35.565,41.85,39.21,47.58,53.625,63.48,42.21,60.9
"2012-08-15 17:08:00",29.625,29.85,36.18,35.64,32.745,30.21,30.15,30.45
"2012-08-15 17:10:00",23.7,32.865,24.12,29.73,32.76,36.27,30.15,33.495
"2012-08-15 17:12:00",8.895,11.94,15.06,20.835,14.895,21.15,12.06,15.225
"2012-08-15 17:14:00",5.925,8.925,9.06,8.925,8.925,12.09,9.06,12.18
"2012-08-15 17:16:00",5.925,5.97,6.03,5.94,5.97,6.045,3,6.09
"2012-08-15 17:18:00",0,3.015,0,2.985,2.97,3.015,6.03,3.045
"2012-08-15 17:20:00",2.955,2.955,6.03,2.955,0,6.045,0,3.045
"2012-08-15 17:22:00",2.97,3.015,0,2.985,5.955,3.03,6.03,3.045
"2012-08-15 17:24:00",0,0,0,2.955,0,3.015,0,0
"2012-08-15 17:26:00",5.925,5.97,6.03,2.955,5.955,0,6.03,3.045
"2012-08-15 17:28:00",8.88,8.925,12.06,8.895,8.925,9.075,9.06,9.135
"2012-08-15 17:30:00",8.895,8.985,6.03,8.925,8.94,9.06,9.03,9.135
"2012-08-15 17:32:00",5.925,5.97,6.03,2.985,2.97,6.045,3.03,6.09
"2012-08-15 17:34:00",0,0,0,5.94,2.985,6.045,3,6.09
"2012-08-15 17:36:00",5.925,5.97,6.03,2.985,5.955,0,3.03,3.045
"2012-08-15 17:38:00",0,2.955,0,2.955,0,6.045,3,3.045
"2012-08-15 17:40:00",5.925,3.015,6.03,2.985,5.955,0,0,3.045
"2012-08-15 17:42:00",0,2.955,0,2.955,0,3.03,6.03,3.045
"2012-08-15 17:44:00",5.925,3.015,6.03,5.94,5.955,6.045,3.03,6.09
"2012-08-15 17:46:00",5.925,5.97,6.03,2.955,2.97,3.015,6.03,6.09
"2012-08-15 17:48:00",8.88,8.925,6.03,5.94,8.94,6.045,9.03,6.09
"2012-08-15 17:50:00",2.97,3.015,6.03,8.925,5.955,9.075,6.03,6.09
"2012-08-15 17:52:00",5.925,5.97,6.03,0,2.97,3.015,0,6.09
"2012-08-15 17:54:00",0,3.015,0,5.94,2.985,6.045,6.03,0
"2012-08-15 17:56:00",5.925,2.955,0,2.985,0,0,0,6.09
"2012-08-15 17:58:00",0,0,0,0,2.985,3.03,0,0
"2012-08-15 18:00:00",0,0,3.03,0,0,0,0,0
"2012-08-15 18:02:00",0,0,0,0,0,0,0,0
"2012-08-15 18:04:00",0,0,0,0,2.97,0,0,0
"2012-08-15 18:06:00",0,0,0,0,0,0,0,0
"2012-08-15 18:08:00",0,0,0,0,0,0,0,0
"2012-08-15 18:10:00",0,0,0,0,0,0,0,0
