"","X1","X2","X3","X4","X5","X6","X7","X8"
"2012-06-14 23:40:00",0,0,0,0,0,0,0,0
"2012-06-14 23:42:00",0,0,0,0,0,0,0,0
"2012-06-14 23:44:00",0,0,3.03,0,0,3.03,0,0
"2012-06-14 23:46:00",2.955,0,0,0,0,0,0,0
"2012-06-14 23:48:00",0,0,0,0,0,0,0,0
"2012-06-14 23:50:00",0,0,0,0,0,0,3.03,0
"2012-06-14 23:52:00",0,0,0,0,2.97,0,0,0
"2012-06-14 23:54:00",0,0,0,0,0,0,0,3.045
"2012-06-14 23:56:00",0,0,3,0,0,0,0,0
"2012-06-14 23:58:00",0,3.015,0,0,0,0,3,0
"2012-06-15 00:00:00",0,0,0,0,0,3.015,0,0
"2012-06-15 00:02:00",0,2.955,0,2.955,0,0,0,3.045
"2012-06-15 00:04:00",2.97,0,0,0,0,0,0,0
"2012-06-15 00:06:00",0,0,0,0,2.985,0,0,0
"2012-06-15 00:08:00",0,0,0,0,0,0,0,0
"2012-06-15 00:10:00",0,0,0,0,0,0,0,0
"2012-06-15 00:12:00",0,0,0,0,0,0,0,0
"2012-06-15 00:14:00",0,0,0,0,0,0,0,0
"2012-06-15 00:16:00",0,0,0,2.985,0,0,0,0
"2012-06-15 00:18:00",2.955,0,0,0,0,3.03,3.03,0
"2012-06-15 00:20:00",0,3.015,3.03,0,2.97,0,0,3.045
"2012-06-15 00:22:00",2.97,2.955,0,2.955,2.985,3.015,3,3.045
"2012-06-15 00:24:00",0,0,3,2.985,2.97,3.03,3.03,0
"2012-06-15 00:26:00",2.955,3.015,3.03,0,0,0,0,0
"2012-06-15 00:28:00",0,2.955,0,0,0,0,3,3.045
"2012-06-15 00:30:00",0,0,3,2.955,0,3.015,0,0
"2012-06-15 00:32:00",0,0,0,0,2.985,0,0,0
"2012-06-15 00:34:00",2.97,0,0,0,0,0,0,3.045
"2012-06-15 00:36:00",0,0,0,2.985,0,0,0,0
"2012-06-15 00:38:00",0,3.015,3.03,0,2.97,3.03,3.03,0
"2012-06-15 00:40:00",2.955,2.955,0,0,0,0,0,3.045
"2012-06-15 00:42:00",0,0,0,0,0,3.015,3,0
"2012-06-15 00:44:00",0,0,3,2.955,2.985,0,0,0
"2012-06-15 00:46:00",2.97,0,0,0,0,0,0,3.045
"2012-06-15 00:48:00",0,3.015,0,2.985,2.97,3.03,3.03,0
"2012-06-15 00:50:00",2.955,2.955,3.03,0,0,0,3,3.045
"2012-06-15 00:52:00",0,0,0,2.955,2.985,3.015,0,0
"2012-06-15 00:54:00",0,0,3,0,0,0,0,0
"2012-06-15 00:56:00",2.97,0,0,2.985,0,3.03,3.03,3.045
"2012-06-15 00:58:00",0,5.97,0,0,2.97,0,0,0
"2012-06-15 01:00:00",2.955,0,3.03,0,0,3.015,3,3.045
"2012-06-15 01:02:00",0,0,0,2.955,2.985,0,0,0
"2012-06-15 01:04:00",0,0,3,0,0,0,0,0
"2012-06-15 01:06:00",2.97,3.015,0,2.985,2.97,3.03,3.03,3.045
"2012-06-15 01:08:00",0,2.955,3.03,0,0,3.015,3,3.045
"2012-06-15 01:10:00",2.955,0,0,2.955,2.985,0,0,0
"2012-06-15 01:12:00",2.97,5.97,3,2.985,2.97,3.03,3.03,3.045
"2012-06-15 01:14:00",0,0,3.03,0,0,3.015,3,3.045
"2012-06-15 01:16:00",2.955,0,0,2.955,2.985,3.03,0,0
"2012-06-15 01:18:00",2.97,5.97,3,2.985,2.97,0,3.03,0
"2012-06-15 01:20:00",0,0,3.03,0,0,3.015,3,3.045
"2012-06-15 01:22:00",2.955,0,0,2.955,2.985,0,0,3.045
"2012-06-15 01:24:00",2.97,5.97,3,2.985,2.97,6.045,3.03,0
"2012-06-15 01:26:00",2.955,0,3.03,2.955,2.985,3.03,3,6.09
"2012-06-15 01:28:00",2.97,5.97,3,2.985,2.97,3.015,6.03,3.045
"2012-06-15 01:30:00",2.955,0,3.03,2.955,2.985,3.03,0,3.045
"2012-06-15 01:32:00",0,5.97,3,2.985,2.97,0,3.03,0
"2012-06-15 01:34:00",2.97,0,3.03,2.955,2.985,6.045,3,6.09
"2012-06-15 01:36:00",2.955,5.97,0,2.985,2.97,3.015,3.03,0
"2012-06-15 01:38:00",2.97,3.015,6.03,2.955,2.985,3.03,6.03,6.09
"2012-06-15 01:40:00",2.955,2.955,3,5.94,2.97,3.015,3,0
"2012-06-15 01:42:00",2.97,3.015,3.03,0,2.985,3.03,0,0
"2012-06-15 01:44:00",0,0,0,0,0,0,3.03,6.09
"2012-06-15 01:46:00",2.955,2.955,3,2.985,2.97,3.015,0,0
"2012-06-15 01:48:00",0,0,0,2.955,0,0,3,0
"2012-06-15 01:50:00",0,0,3.03,0,2.985,0,0,0
"2012-06-15 01:52:00",2.97,3.015,0,0,0,3.03,0,0
"2012-06-15 01:54:00",0,0,3,2.985,0,0,3.03,6.09
"2012-06-15 01:56:00",2.955,2.955,0,0,2.97,3.015,0,0
"2012-06-15 01:58:00",0,0,0,2.955,0,0,3,0
"2012-06-15 02:00:00",0,0,3.03,0,2.985,0,0,0
"2012-06-15 02:02:00",0,3.015,0,0,0,3.03,0,0
"2012-06-15 02:04:00",2.97,2.955,3,2.985,2.97,0,3.03,6.09
"2012-06-15 02:06:00",2.955,0,0,2.955,0,3.015,3,0
"2012-06-15 02:08:00",0,0,3.03,0,2.985,3.03,0,0
"2012-06-15 02:10:00",0,3.015,0,0,0,0,0,0
"2012-06-15 02:12:00",0,0,0,0,0,0,0,0
"2012-06-15 02:14:00",2.97,2.955,3,2.985,2.97,0,3.03,0
"2012-06-15 02:16:00",0,0,0,0,0,3.015,3,6.09
"2012-06-15 02:18:00",2.955,0,3.03,2.955,2.985,3.03,0,0
"2012-06-15 02:20:00",0,3.015,0,0,0,0,3.03,0
"2012-06-15 02:22:00",2.97,2.955,3,2.985,2.97,3.015,3,3.045
"2012-06-15 02:24:00",0,3.015,3.03,2.955,2.985,3.03,0,3.045
"2012-06-15 02:26:00",2.955,0,0,0,0,0,3.03,0
"2012-06-15 02:28:00",2.97,2.955,3,5.94,2.97,6.045,3,6.09
"2012-06-15 02:30:00",2.955,5.97,3.03,2.985,5.955,3.015,3.03,3.045
"2012-06-15 02:32:00",5.925,5.97,6.03,2.955,2.985,6.045,6.03,3.045
"2012-06-15 02:34:00",2.97,3.015,6.03,5.94,2.97,3.03,3,3.045
"2012-06-15 02:36:00",0,0,0,0,2.985,3.015,3.03,3.045
"2012-06-15 02:38:00",2.955,2.955,3,5.94,2.97,3.03,3,0
"2012-06-15 02:40:00",0,3.015,3.03,0,2.985,0,0,3.045
"2012-06-15 02:42:00",2.97,0,3,0,0,3.015,3.03,3.045
"2012-06-15 02:44:00",2.955,2.955,0,2.985,2.97,0,3,0
"2012-06-15 02:46:00",0,0,0,0,0,3.03,0,0
"2012-06-15 02:48:00",0,3.015,0,2.955,0,0,0,0
"2012-06-15 02:50:00",2.97,0,3.03,0,2.985,0,3.03,3.045
"2012-06-15 02:52:00",2.955,2.955,0,2.985,2.97,6.045,3,3.045
"2012-06-15 02:54:00",2.97,3.015,6.03,2.955,2.985,3.015,3.03,3.045
"2012-06-15 02:56:00",2.955,5.97,3,5.94,2.97,3.03,6.03,6.09
"2012-06-15 02:58:00",5.925,5.97,3.03,5.94,5.955,6.045,3,3.045
"2012-06-15 03:00:00",2.97,2.955,6.03,2.985,5.955,6.045,6.03,3.045
"2012-06-15 03:02:00",2.955,3.015,3,2.955,2.985,3.015,3.03,6.09
"2012-06-15 03:04:00",2.97,5.97,3.03,5.94,2.97,3.03,3,0
"2012-06-15 03:06:00",2.955,2.955,3,0,2.985,6.045,6.03,6.09
"2012-06-15 03:08:00",2.97,3.015,6.03,5.94,2.97,0,3.03,0
"2012-06-15 03:10:00",2.955,2.955,0,2.985,5.955,6.045,3,6.09
"2012-06-15 03:12:00",2.97,3.015,3.03,2.955,0,0,0,0
"2012-06-15 03:14:00",0,0,3,0,0,3.015,3.03,0
"2012-06-15 03:16:00",2.955,2.955,3.03,2.985,5.955,3.03,3,6.09
"2012-06-15 03:18:00",0,3.015,3,2.955,0,0,3.03,0
"2012-06-15 03:20:00",5.925,2.955,0,2.985,5.955,6.045,3,6.09
"2012-06-15 03:22:00",2.97,3.015,6.03,2.955,0,3.015,3.03,0
"2012-06-15 03:24:00",2.955,2.955,3.03,2.985,5.955,3.03,3,6.09
"2012-06-15 03:26:00",2.97,5.97,3,2.955,2.985,6.045,6.03,0
