"","X1","X2","X3","X4","X5","X6","X7","X8"
"2012-06-22 13:16:00",0,0,0,0,0,0,0,0
"2012-06-22 13:18:00",0,0,0,0,0,0,0,3.045
"2012-06-22 13:20:00",0,0,0,0,0,0,0,0
"2012-06-22 13:22:00",0,0,0,0,0,3.03,3.03,0
"2012-06-22 13:24:00",0,0,0,0,0,0,0,0
"2012-06-22 13:26:00",0,0,0,2.985,0,3.015,0,0
"2012-06-22 13:28:00",2.955,0,0,0,0,0,0,0
"2012-06-22 13:30:00",0,0,0,0,0,0,0,0
"2012-06-22 13:32:00",2.97,0,0,0,0,0,3,3.045
"2012-06-22 13:34:00",0,0,3.03,2.955,2.97,0,0,0
"2012-06-22 13:36:00",0,3.015,3,0,2.985,0,0,0
"2012-06-22 13:38:00",0,2.955,0,0,0,0,0,0
"2012-06-22 13:40:00",2.955,0,0,2.985,0,0,3.03,3.045
"2012-06-22 13:42:00",2.97,0,0,0,0,6.045,3,0
"2012-06-22 13:44:00",0,0,0,2.955,0,0,0,0
"2012-06-22 13:46:00",0,0,3.03,0,2.97,0,0,0
"2012-06-22 13:48:00",0,3.015,0,0,2.985,0,0,0
"2012-06-22 13:50:00",5.925,2.955,3,0,0,0,0,3.045
"2012-06-22 13:52:00",0,0,0,2.985,0,0,3.03,0
"2012-06-22 13:54:00",0,0,0,2.955,0,3.015,3,0
"2012-06-22 13:56:00",2.955,3.015,3.03,0,5.955,3.03,0,3.045
"2012-06-22 13:58:00",2.97,2.955,3,2.985,0,0,0,3.045
"2012-06-22 14:00:00",0,0,0,2.955,0,3.015,6.03,0
"2012-06-22 14:02:00",5.925,5.97,3.03,0,5.955,3.03,0,3.045
"2012-06-22 14:04:00",0,0,3,2.985,0,0,3.03,0
"2012-06-22 14:06:00",0,0,0,0,0,0,3,0
"2012-06-22 14:08:00",2.955,0,0,2.955,2.985,0,0,3.045
"2012-06-22 14:10:00",2.97,0,0,0,2.97,3.015,0,0
"2012-06-22 14:12:00",0,5.97,3.03,0,0,0,0,3.045
"2012-06-22 14:14:00",0,0,3,2.985,0,3.03,3.03,0
"2012-06-22 14:16:00",5.925,2.955,0,2.955,5.955,3.015,3,3.045
"2012-06-22 14:18:00",5.925,3.015,6.03,5.94,5.955,6.045,6.03,6.09
"2012-06-22 14:20:00",5.925,8.925,6.03,5.94,5.955,6.045,6.03,6.09
"2012-06-22 14:22:00",5.925,5.97,6.03,5.94,5.955,6.045,6.03,3.045
"2012-06-22 14:24:00",8.88,8.985,6.03,8.925,5.955,6.045,6.03,6.09
"2012-06-22 14:26:00",2.97,0,6.03,2.955,2.985,3.03,6.03,6.09
"2012-06-22 14:28:00",5.925,5.97,3.03,2.985,2.97,3.015,0,0
"2012-06-22 14:30:00",2.955,0,3,2.955,5.955,3.03,6.03,6.09
"2012-06-22 14:32:00",0,5.97,0,2.985,0,0,0,0
"2012-06-22 14:34:00",5.925,0,3.03,0,2.985,3.015,3.03,0
"2012-06-22 14:36:00",0,0,3,0,0,0,0,0
"2012-06-22 14:38:00",5.925,5.97,0,5.94,2.97,3.03,3,3.045
"2012-06-22 14:40:00",0,0,0,0,2.985,0,0,3.045
"2012-06-22 14:42:00",0,0,0,0,0,3.015,3.03,0
"2012-06-22 14:44:00",5.925,2.955,3.03,2.955,2.97,0,0,0
"2012-06-22 14:46:00",0,3.015,0,2.985,0,0,3,0
"2012-06-22 14:48:00",0,0,3,0,0,0,0,0
"2012-06-22 14:50:00",0,0,0,0,2.985,0,0,0
"2012-06-22 14:52:00",0,0,0,0,0,3.03,0,3.045
"2012-06-22 14:54:00",5.925,0,0,0,0,3.015,3.03,3.045
"2012-06-22 14:56:00",0,2.955,3.03,5.94,0,0,0,0
"2012-06-22 14:58:00",0,3.015,3,0,2.97,0,3,0
"2012-06-22 15:00:00",2.955,0,0,0,2.985,0,0,0
"2012-06-22 15:02:00",2.97,2.955,0,5.94,0,6.045,6.03,6.09
"2012-06-22 15:04:00",5.925,3.015,6.03,0,5.955,0,0,0
"2012-06-22 15:06:00",2.955,5.97,3.03,5.94,5.955,6.045,6.03,6.09
"2012-06-22 15:08:00",2.97,2.955,3,5.94,0,6.045,3.03,3.045
"2012-06-22 15:10:00",5.925,5.97,6.03,2.985,5.955,0,3,3.045
"2012-06-22 15:12:00",2.955,3.015,3.03,2.955,5.955,6.045,3.03,3.045
"2012-06-22 15:14:00",2.97,5.97,3,5.94,0,0,3,6.09
"2012-06-22 15:16:00",5.925,0,6.03,0,5.955,6.045,3.03,0
"2012-06-22 15:18:00",2.955,5.97,0,5.94,0,0,3,6.09
"2012-06-22 15:20:00",5.925,0,6.03,0,5.955,6.045,3.03,0
"2012-06-22 15:22:00",0,5.97,0,5.94,0,0,3,3.045
"2012-06-22 15:24:00",5.925,0,3.03,0,5.955,6.045,3.03,3.045
"2012-06-22 15:26:00",2.97,5.97,3,5.94,2.985,0,3,0
"2012-06-22 15:28:00",5.925,2.955,6.03,2.985,2.97,6.045,3.03,6.09
"2012-06-22 15:30:00",2.955,3.015,0,2.955,5.955,0,3,3.045
"2012-06-22 15:32:00",5.925,2.955,6.03,5.94,0,6.045,3.03,3.045
"2012-06-22 15:34:00",0,3.015,0,2.985,5.955,0,3,0
"2012-06-22 15:36:00",5.925,0,6.03,0,0,3.03,3.03,3.045
"2012-06-22 15:38:00",0,2.955,0,2.955,2.985,3.015,0,3.045
"2012-06-22 15:40:00",0,3.015,0,2.985,2.97,0,3,0
"2012-06-22 15:42:00",5.925,2.955,6.03,2.955,2.985,6.045,6.03,6.09
"2012-06-22 15:44:00",8.88,5.97,6.03,5.94,5.955,6.045,6.03,6.09
"2012-06-22 15:46:00",5.925,3.015,6.03,5.94,2.97,3.03,0,0
"2012-06-22 15:48:00",2.97,5.97,3.03,2.985,5.955,3.015,6.03,6.09
"2012-06-22 15:50:00",2.955,0,3,2.955,2.985,0,0,0
"2012-06-22 15:52:00",2.97,5.97,0,2.985,2.97,6.045,6.03,6.09
"2012-06-22 15:54:00",5.925,2.955,6.03,2.955,2.985,0,0,0
"2012-06-22 15:56:00",2.955,3.015,0,2.985,2.97,6.045,6.03,3.045
"2012-06-22 15:58:00",5.925,0,3.03,2.955,2.985,0,0,3.045
"2012-06-22 16:00:00",2.97,5.97,3,2.985,2.97,6.045,6.03,0
"2012-06-22 16:02:00",5.925,0,3.03,2.955,2.985,0,0,3.045
"2012-06-22 16:04:00",2.955,2.955,3,2.985,0,0,3.03,3.045
"2012-06-22 16:06:00",5.925,3.015,3.03,0,5.955,6.045,3,3.045
"2012-06-22 16:08:00",0,2.955,0,5.94,0,0,3.03,0
"2012-06-22 16:10:00",5.925,3.015,3,0,2.97,0,3,3.045
"2012-06-22 16:12:00",0,0,0,0,2.985,3.015,3.03,0
"2012-06-22 16:14:00",2.97,2.955,3.03,2.955,0,3.03,0,3.045
"2012-06-22 16:16:00",2.955,3.015,0,2.985,0,0,0,0
"2012-06-22 16:18:00",0,0,0,0,2.97,0,3,3.045
"2012-06-22 16:20:00",5.925,2.955,3,2.955,2.985,0,3.03,0
"2012-06-22 16:22:00",0,0,3.03,2.985,0,6.045,0,3.045
"2012-06-22 16:24:00",2.955,3.015,0,0,2.97,0,3,0
"2012-06-22 16:26:00",2.97,2.955,3,2.955,2.985,0,0,3.045
"2012-06-22 16:28:00",2.955,0,3.03,2.985,0,3.015,3.03,0
"2012-06-22 16:30:00",2.97,3.015,0,0,2.97,3.03,0,3.045
"2012-06-22 16:32:00",2.955,2.955,0,2.955,2.985,0,3,0
"2012-06-22 16:34:00",5.925,0,6.03,2.985,0,0,3.03,0
"2012-06-22 16:36:00",0,3.015,0,0,5.955,3.015,0,3.045
"2012-06-22 16:38:00",5.925,2.955,0,2.955,0,3.03,3,3.045
"2012-06-22 16:40:00",0,0,3,2.985,0,0,3.03,0
"2012-06-22 16:42:00",2.97,0,0,0,5.955,0,0,0
"2012-06-22 16:44:00",2.955,3.015,3.03,0,0,0,3,0
"2012-06-22 16:46:00",0,2.955,0,0,0,3.015,0,3.045
