"","X1","X2","X3","X4","X5","X6","X7","X8"
"2012-07-06 08:05:00",0,0,0,0,0,0,0,0
"2012-07-06 08:10:00",0,1.182,0,0,0,1.206,0,1.218
"2012-07-06 08:15:00",1.182,1.206,1.2,1.182,1.194,0,1.212,1.218
"2012-07-06 08:20:00",1.188,0,1.212,1.194,1.188,1.212,1.2,0
"2012-07-06 08:25:00",2.37,3.57,2.412,2.376,2.382,3.624,2.412,2.436
"2012-07-06 08:30:00",7.11,7.164,6.024,7.128,7.146,7.254,7.236,6.09
"2012-07-06 08:35:00",11.85,11.94,12.06,11.88,11.91,12.09,12.06,10.962
"2012-07-06 08:40:00",21.33,20.286,19.296,17.814,17.862,19.344,19.296,19.488
"2012-07-06 08:45:00",14.22,15.534,15.684,15.45,15.486,15.72,14.472,10.962
"2012-07-06 08:50:00",9.48,9.552,10.848,10.686,10.716,9.672,12.06,9.744
"2012-07-06 08:55:00",9.48,9.552,9.648,8.322,9.528,10.878,9.648,9.744
"2012-07-06 09:00:00",7.11,7.164,7.236,7.128,5.958,6.048,4.824,4.872
"2012-07-06 09:05:00",2.37,4.776,3.624,3.558,4.764,3.624,4.824,2.436
"2012-07-06 09:10:00",4.74,4.776,4.824,4.752,4.764,4.836,4.824,4.872
"2012-07-06 09:15:00",7.11,4.776,6.024,5.946,5.952,6.048,4.824,7.308
"2012-07-06 09:20:00",4.74,7.164,6.036,7.128,7.146,6.042,7.236,4.872
"2012-07-06 09:25:00",5.928,3.57,4.824,3.558,4.764,4.836,4.824,3.654
"2012-07-06 09:30:00",5.922,5.982,6.024,5.946,4.764,6.048,4.824,4.872
"2012-07-06 09:35:00",4.74,5.958,6.036,7.128,7.146,6.042,7.236,6.09
"2012-07-06 09:40:00",7.11,5.982,7.236,4.752,4.764,6.048,6.024,6.09
"2012-07-06 09:45:00",5.928,4.776,4.824,5.934,7.146,6.042,6.036,4.872
"2012-07-06 09:50:00",9.48,11.94,9.648,10.698,9.528,10.884,10.848,9.744
"2012-07-06 09:55:00",4.74,5.982,4.824,5.934,7.146,4.836,6.036,4.872
"2012-07-06 10:00:00",13.038,10.71,8.436,9.504,8.334,13.296,9.636,9.744
"2012-07-06 10:05:00",33.18,40.62,42.216,41.586,42.876,37.482,39.804,30.45
"2012-07-06 10:10:00",4.74,4.776,4.824,5.946,4.764,4.836,4.824,6.09
"2012-07-06 10:15:00",4.74,3.594,4.824,3.558,4.764,4.836,4.824,3.654
"2012-07-06 10:20:00",4.74,4.776,4.824,4.752,4.764,4.836,4.824,3.654
"2012-07-06 10:25:00",0,2.388,2.412,2.376,2.382,2.418,2.412,2.436
"2012-07-06 10:30:00",5.928,4.776,4.824,5.946,4.764,4.836,4.824,3.654
"2012-07-06 10:35:00",4.74,4.776,4.824,5.934,4.764,4.836,4.824,3.654
"2012-07-06 10:40:00",3.552,4.776,4.824,3.57,5.958,4.836,4.824,4.872
"2012-07-06 10:45:00",2.37,2.388,2.412,3.558,3.57,2.418,2.412,2.436
"2012-07-06 10:50:00",2.37,2.388,2.412,1.194,2.382,2.418,2.412,2.436
"2012-07-06 10:55:00",2.37,2.388,1.212,2.376,0,1.212,2.412,0
"2012-07-06 11:00:00",0,2.388,1.2,1.182,2.382,1.206,2.412,2.436
"2012-07-06 11:05:00",2.37,2.388,2.412,2.376,2.382,2.418,2.412,2.436
"2012-07-06 11:10:00",9.48,9.552,9.648,9.504,9.528,12.09,8.436,7.308
"2012-07-06 11:15:00",4.74,4.776,4.824,4.752,4.764,2.418,4.824,3.654
"2012-07-06 11:20:00",2.37,2.388,3.624,2.376,2.382,3.63,3.624,2.436
"2012-07-06 11:25:00",2.37,0,1.2,1.194,2.382,1.206,0,1.218
"2012-07-06 11:30:00",7.11,7.164,7.236,5.934,5.952,7.254,7.236,6.09
"2012-07-06 11:35:00",2.37,3.594,2.412,4.752,3.576,2.418,3.612,2.436
"2012-07-06 11:40:00",2.37,1.182,2.412,1.194,2.382,2.418,2.412,2.436
"2012-07-06 11:45:00",0,2.388,1.212,1.182,0,2.418,1.212,0
"2012-07-06 11:50:00",2.37,0,1.2,1.194,2.382,0,1.2,1.218
"2012-07-06 11:55:00",0,2.388,2.412,1.182,2.382,2.418,2.412,2.436
"2012-07-06 12:00:00",2.37,2.388,2.412,2.376,2.382,2.418,1.212,1.218
"2012-07-06 12:05:00",2.37,2.388,2.412,2.376,2.382,2.418,3.612,2.436
"2012-07-06 12:10:00",2.37,2.388,2.412,2.376,2.382,2.418,2.412,2.436
"2012-07-06 12:15:00",4.74,4.776,3.624,4.752,3.57,3.63,3.624,2.436
"2012-07-06 12:20:00",2.37,2.388,2.412,2.376,2.382,2.418,2.412,2.436
"2012-07-06 12:25:00",0,0,0,0,1.194,1.206,1.2,0
"2012-07-06 12:30:00",0,0,0,0,0,0,0,0
