"","X1","X2","X3","X4","X5","X6","X7","X8"
"2012-07-06 07:50:00",0,0,0,0,0,0,0,0
"2012-07-06 08:20:00",3.95,4.177,3.818,3.96,3.97,4.231,4.02,3.654
"2012-07-06 08:50:00",10.665,11.144,11.056,10.493,10.719,10.881,10.854,9.541
"2012-07-06 09:20:00",5.53,5.371,5.628,5.743,5.756,5.642,5.628,5.278
"2012-07-06 09:50:00",12.246,13.335,12.864,13.068,13.299,13.098,13.064,10.962
"2012-07-06 10:20:00",4.148,4.181,4.422,4.752,4.367,4.433,4.422,3.857
"2012-07-06 10:50:00",2.172,2.786,2.412,2.376,2.779,2.418,2.814,2.436
"2012-07-06 11:20:00",4.74,4.579,4.824,4.752,4.764,4.836,4.622,3.857
"2012-07-06 11:50:00",1.58,1.789,2.01,1.584,1.985,2.015,2.01,1.624
"2012-07-06 12:20:00",1.58,1.592,1.408,1.584,1.588,1.612,1.608,1.218
"2012-07-06 12:50:00",0,0,0,0,0,0,0,0
