"","X1","X2","X3","X4","X5","X6","X7","X8"
"2012-04-18 09:45:00",0,0,0,0,0,0,0,0
"2012-04-18 10:00:00",1.185,1.194,1.206,1.188,1.191,1.209,1.206,0.609
"2012-04-18 10:15:00",0.79,1.592,0.804,1.186,0.794,0.806,0.804,1.624
"2012-04-18 10:30:00",1.58,0.796,1.608,1.19,1.19,1.612,1.608,0.812
"2012-04-18 10:45:00",0.79,1.592,0.804,1.584,1.588,1.21,0.804,1.624
"2012-04-18 11:00:00",0.79,0.402,0.804,0.792,0.794,0.806,0.804,0.812
"2012-04-18 11:15:00",1.58,2.388,2.012,1.584,1.588,2.014,2.412,1.624
"2012-04-18 11:30:00",3.16,2.79,3.616,3.168,3.176,3.224,3.216,2.842
"2012-04-18 11:45:00",1.976,1.592,1.608,1.978,1.986,2.016,1.608,2.03
"2012-04-18 12:00:00",3.16,3.586,3.216,3.168,3.176,3.626,3.62,3.248
"2012-04-18 12:15:00",3.554,3.98,3.62,3.96,3.97,4.03,4.02,3.654
"2012-04-18 12:30:00",4.346,3.98,4.42,4.358,3.97,4.03,4.02,4.06
"2012-04-18 12:45:00",2.37,2.388,2.816,2.77,2.778,3.224,2.812,2.436
"2012-04-18 13:00:00",1.974,1.994,2.008,1.584,1.986,1.612,2.012,2.03
"2012-04-18 13:15:00",1.976,2.388,2.012,2.376,2.382,2.418,2.412,2.03
"2012-04-18 13:30:00",2.764,1.994,2.812,3.168,2.382,3.224,2.412,2.436
"2012-04-18 13:45:00",1.976,2.388,2.012,1.584,2.382,1.612,2.412,2.03
"2012-04-18 14:00:00",1.974,1.592,1.608,1.978,1.588,2.418,1.608,1.624
"2012-04-18 14:15:00",2.766,2.79,3.216,2.774,3.176,2.418,3.216,2.842
"2012-04-18 14:30:00",3.554,3.586,3.62,3.562,3.176,4.03,3.616,3.654
"2012-04-18 14:45:00",3.16,3.184,2.816,3.168,3.574,3.224,3.216,2.842
"2012-04-18 15:00:00",3.16,3.184,3.216,3.168,3.176,3.224,3.216,2.842
"2012-04-18 15:15:00",2.766,2.79,3.216,3.168,2.778,2.822,3.216,2.436
"2012-04-18 15:30:00",2.764,2.388,2.412,2.376,3.176,2.82,2.816,2.436
"2012-04-18 15:45:00",0.79,0.796,0.804,0.792,0.794,0.806,0.804,0.812
"2012-04-18 16:00:00",0.396,0.796,0.804,0.792,0.794,0.806,0.4,0
"2012-04-18 16:15:00",0,0,0,0,0,0,0,0
