"","X","X1","X2","X3","X4","X5","X6","X7","X8","mean"
"10","2012-04-12 17:18:00",8.88,8.985,9.06,8.925,11.91,12.09,12.06,9.135,10.130625
"73","2012-04-18 12:20:00",5.925,5.97,3.03,5.94,5.955,6.045,6.03,6.09,5.623125
"6","2012-04-25 11:50:00",8.895,11.94,9.06,11.88,11.91,9.075,9.03,9.135,10.115625
"65","2012-04-26 17:44:00",8.895,11.94,9.06,11.88,8.925,12.09,12.06,3.045,9.736875
"651","2012-05-07 23:38:00",5.925,8.985,9.06,8.925,5.97,6.045,12.06,9.135,8.263125
"243","2012-05-10 01:10:00",5.925,5.97,6.03,5.94,5.97,6.045,3,6.09,5.62125
"155","2012-06-15 04:48:00",5.925,5.97,6.03,11.88,11.91,6.045,6.03,6.09,7.485
"286","2012-06-22 22:46:00",26.655,20.925,24.12,17.82,20.85,21.165,21.09,21.315,21.7425
"11","2012-06-30 18:36:00",20.745,23.82,24.12,26.715,23.82,27.21,21.09,24.36,23.985
"17","2012-07-05 19:32:00",17.775,26.895,30.15,32.685,29.775,27.21,27.15,24.36,27
"59","2012-07-06 10:02:00",62.22,62.655,57.27,65.34,56.565,66.495,60.3,54.81,60.706875
"12","2012-07-06 15:28:00",8.88,11.94,9.06,8.895,8.925,9.075,12.06,9.135,9.74625
"5","2012-07-07 19:34:00",74.07,98.595,99.51,89.13,92.295,90.69,99.54,94.395,92.278125
"21","2012-07-19 04:06:00",14.82,20.865,24.12,23.76,20.835,21.165,24.12,18.27,20.994375
"29","2012-08-15 17:06:00",35.565,41.85,39.21,47.58,53.625,63.48,42.21,60.9,48.0525
"216","2013-05-15 04:26:00",9,11.94,9.06,8.925,8.94,8.955,8.91,9.135,9.358125
"14","2013-07-23 07:06:00",38.715,41.79,36.18,41.58,41.685,41.685,38.76,45.675,40.75875
"211","2013-07-28 04:40:00",26.805,29.85,30.15,29.7,29.775,29.775,26.82,30.45,29.165625
"7","2013-07-29 18:12:00",20.85,26.895,24.12,23.76,23.82,26.775,23.88,24.36,24.3075
