"","X1","X2","X3","X4","X5","X6","X7","X8"
"2013-07-27 21:25:00",0,0,0,0,0,0,0,0
"2013-07-27 21:55:00",0.794,0.796,0.804,0.792,0.794,0.794,0.796,0.812
"2013-07-27 22:25:00",1.588,1.793,1.608,1.783,1.786,1.785,1.99,1.624
"2013-07-27 22:55:00",2.382,2.585,2.814,2.573,2.581,2.779,2.388,2.639
"2013-07-27 23:25:00",0.794,0.997,0.804,1.188,1.191,0.994,1.194,1.015
"2013-07-27 23:55:00",3.374,3.184,3.418,3.168,2.977,3.176,3.184,3.045
"2013-07-28 00:25:00",7.543,8.358,8.442,8.117,8.139,8.137,8.156,8.729
"2013-07-28 00:55:00",4.764,4.776,4.824,4.752,4.962,5.161,4.972,4.872
"2013-07-28 01:25:00",1.985,2.388,2.412,2.376,2.184,1.985,2.388,2.03
"2013-07-28 01:55:00",2.58,2.589,2.412,2.376,2.58,2.779,2.584,2.639
"2013-07-28 02:25:00",5.558,5.97,6.232,5.94,5.955,6.152,5.97,6.09
"2013-07-28 02:55:00",1.787,1.99,1.608,1.98,1.985,1.788,1.788,1.421
"2013-07-28 03:25:00",0.992,0.796,0.804,0.792,0.993,0.794,0.796,0.812
"2013-07-28 03:55:00",5.756,6.368,5.83,6.336,5.955,5.952,5.97,5.684
"2013-07-28 04:25:00",16.078,15.522,14.674,15.446,15.086,13.698,14.518,14.413
"2013-07-28 04:55:00",11.116,11.739,10.854,11.285,11.712,10.719,10.146,10.759
"2013-07-28 05:25:00",3.573,3.582,3.618,3.761,3.573,3.573,3.778,3.248
"2013-07-28 05:55:00",0.397,0.398,0.402,0.199,0.397,0.197,0,0.406
"2013-07-28 06:25:00",0,0,0,0,0,0,0,0
