"","X1","X2","X3","X4","X5","X6","X7","X8"
"2012-08-15 16:00:00",0,0,0,0,0,0,0,0
"2012-08-15 16:15:00",0,0.591,1.206,1.188,1.191,0,1.206,0
"2012-08-15 16:30:00",9.48,10.348,10.452,9.898,9.924,10.076,10.048,9.744
"2012-08-15 16:45:00",9.48,9.552,9.244,9.106,9.528,8.866,9.248,9.338
"2012-08-15 17:00:00",18.564,21.886,23.72,19.784,20.64,16.528,21.708,18.27
"2012-08-15 17:15:00",12.246,14.73,14.472,17.444,15.884,19.742,13.668,17.458
"2012-08-15 17:30:00",4.74,5.178,4.424,4.752,4.764,4.836,4.824,4.872
"2012-08-15 17:45:00",4.346,3.98,4.42,4.752,4.764,4.434,4.824,4.872
"2012-08-15 18:00:00",1.58,1.592,1.208,1.19,1.588,1.612,0.804,1.624
"2012-08-15 18:15:00",0,0,0,0,0,0,0,0
