"","X1","X2","X3","X4","X5","X6","X7","X8"
"2012-07-19 03:15:00",0,0,0,0,0,0,0,0
"2012-07-19 03:30:00",1.185,1.194,1.206,1.779,1.785,1.209,1.806,1.218
"2012-07-19 03:45:00",2.37,1.986,1.608,1.584,1.986,2.418,1.608,2.436
"2012-07-19 04:00:00",7.11,7.96,8.04,7.92,7.542,8.06,8.04,7.308
"2012-07-19 04:15:00",9.086,9.954,10.856,10.296,11.116,10.478,10.452,8.932
"2012-07-19 04:30:00",7.11,6.368,6.832,7.128,6.75,6.852,6.432,6.902
"2012-07-19 04:45:00",5.134,5.572,4.824,5.15,5.16,5.238,5.628,4.872
"2012-07-19 05:00:00",4.346,3.98,4.02,3.562,3.97,3.628,3.62,3.654
"2012-07-19 05:15:00",2.37,2.388,2.412,2.774,2.382,2.418,2.812,2.436
"2012-07-19 05:30:00",0.79,0.796,1.208,0.792,0.794,1.612,0.804,0.812
"2012-07-19 05:45:00",1.184,1.592,0.804,1.186,1.588,0.806,1.208,1.624
"2012-07-19 06:00:00",0.79,0.796,0.804,0.398,0,0.806,0.4,0
"2012-07-19 06:15:00",0,0,0.4,0.792,0.794,0,0.804,0.812
"2012-07-19 06:30:00",0,0,0,0,0,0,0,0
