"","X1","X2","X3","X4","X5","X6","X7","X8"
"2013-05-14 21:00:00",0,0,0,0,0,0,0,0
"2013-05-14 21:30:00",0.6,0.599,0.402,0.396,0.397,0.597,0.398,0.609
"2013-05-14 22:00:00",0.4,0.398,0.402,0.396,0.397,0.397,0.796,0.406
"2013-05-14 22:30:00",0.8,0.796,0.804,0.792,0.993,0.794,0.796,0.812
"2013-05-14 23:00:00",0.8,0.796,0.604,0.792,0.595,0.794,0.796,0.609
"2013-05-14 23:30:00",0.8,0.993,1.004,0.989,1.191,1.191,0.796,1.015
"2013-05-15 00:00:00",1.2,1.194,0.804,0.991,1.191,0.991,1.194,1.015
"2013-05-15 00:30:00",1.6,1.395,1.608,1.584,1.588,1.588,1.592,1.421
"2013-05-15 01:00:00",2.4,2.786,2.614,2.772,2.779,2.779,2.584,2.639
"2013-05-15 01:30:00",2.6,2.786,2.412,2.772,2.977,2.779,2.786,2.436
"2013-05-15 02:00:00",3,3.184,2.814,2.969,3.176,3.376,3.184,3.248
"2013-05-15 02:30:00",3.6,3.783,3.82,3.96,3.97,3.97,3.778,3.654
"2013-05-15 03:00:00",4.8,5.174,4.824,4.752,5.161,4.961,5.174,4.669
"2013-05-15 03:30:00",3.4,3.582,3.216,3.564,3.573,3.773,3.582,3.248
"2013-05-15 04:00:00",3.8,4.181,4.22,4.157,4.367,4.564,4.176,4.06
"2013-05-15 04:30:00",3,2.786,3.016,3.168,3.374,2.779,3.184,2.639
"2013-05-15 05:00:00",0,0.398,0.2,0.396,0.199,0.397,0.398,0.203
"2013-05-15 05:30:00",0,0,0,0,0,0,0,0
