"","X1","X2","X3","X4","X5","X6","X7","X8"
"2012-05-07 21:20:00",0,0,0,0,0,0,0,0
"2012-05-07 21:35:00",1.185,1.194,0.606,1.188,1.194,1.209,1.206,0.609
"2012-05-07 21:50:00",1.58,1.592,1.608,1.584,1.592,1.612,1.608,2.03
"2012-05-07 22:05:00",1.58,1.592,1.608,1.584,1.592,1.612,1.608,1.624
"2012-05-07 22:20:00",2.37,3.184,2.812,3.168,2.388,3.224,2.812,2.436
"2012-05-07 22:35:00",3.16,3.184,2.816,3.168,3.184,3.224,3.216,3.248
"2012-05-07 22:50:00",3.556,3.98,3.616,3.96,3.98,3.224,3.62,4.06
"2012-05-07 23:05:00",3.554,3.184,3.62,3.566,3.582,4.03,4.02,3.654
"2012-05-07 23:20:00",3.556,3.98,3.216,3.168,3.184,3.224,3.216,3.654
"2012-05-07 23:35:00",4.74,4.776,5.628,5.146,5.174,5.642,4.824,4.872
"2012-05-07 23:50:00",3.556,3.98,3.616,3.566,3.184,3.224,3.616,3.654
"2012-05-08 00:05:00",1.184,1.198,0.804,0.792,0.796,0.806,1.208,1.218
"2012-05-08 00:20:00",0.594,0.591,0,0.591,0.597,1.209,0,0.609
"2012-05-08 00:35:00",0,0,0,0,0,0,0,0
