"","X1","X2","X3","X4","X5","X6","X7","X8"
"2012-04-18 09:40:00",0,0,0,0,0,0,0,0
"2012-04-18 10:10:00",1.185,1.194,0.804,1.188,0.992,1.209,0.804,1.015
"2012-04-18 10:40:00",1.185,1.395,1.608,1.188,1.39,1.209,1.608,1.218
"2012-04-18 11:10:00",1.58,1.592,1.608,1.781,1.588,2.015,1.608,1.624
"2012-04-18 11:40:00",2.173,2.388,2.412,2.376,2.382,2.418,2.614,2.436
"2012-04-18 12:10:00",3.752,3.984,4.02,4.159,3.97,4.03,4.02,3.857
"2012-04-18 12:40:00",2.963,2.589,2.814,2.969,2.977,3.224,2.814,2.639
"2012-04-18 13:10:00",1.975,2.191,2.212,1.98,2.184,2.015,2.412,2.233
"2012-04-18 13:40:00",2.172,2.388,2.412,2.376,2.382,2.418,2.21,2.03
"2012-04-18 14:10:00",2.765,2.589,2.412,2.573,2.382,2.821,2.614,2.436
"2012-04-18 14:40:00",3.358,2.987,3.218,3.168,3.573,3.224,3.416,3.451
"2012-04-18 15:10:00",2.962,2.987,3.216,3.168,3.176,3.224,3.216,2.436
"2012-04-18 15:40:00",1.383,1.395,1.408,1.188,1.588,1.411,1.608,1.218
"2012-04-18 16:10:00",0.197,0.197,0.2,0.396,0,0.201,0.202,0
"2012-04-18 16:40:00",0,0,0,0,0,0,0,0
