"","X1","X2","X3","X4","X5","X6","X7","X8"
"2012-05-09 16:50:00",0,0,0,0,0,0,0,0
"2012-05-09 17:20:00",0.79,0.796,1.006,0.792,0.995,0.806,1.006,1.015
"2012-05-09 17:50:00",1.185,1.194,1.206,1.188,1.393,1.612,1.206,1.015
"2012-05-09 18:20:00",1.975,2.388,2.412,2.376,1.99,2.216,2.21,2.436
"2012-05-09 18:50:00",1.58,1.592,1.608,1.584,1.791,1.612,1.81,1.421
"2012-05-09 19:20:00",1.975,2.191,2.212,2.376,2.189,2.217,2.21,2.03
"2012-05-09 19:50:00",2.963,2.983,3.014,2.969,2.985,3.224,3.016,2.842
"2012-05-09 20:20:00",1.58,2.191,2.01,1.783,1.791,2.015,2.01,2.03
"2012-05-09 20:50:00",1.185,0.993,0.804,1.188,1.194,1.209,1.206,0.812
"2012-05-09 21:20:00",0.79,1.194,1.206,0.989,0.995,1.007,1.004,1.218
"2012-05-09 21:50:00",0.988,0.997,1.206,0.991,0.995,1.008,1.006,0.812
"2012-05-09 22:20:00",1.382,1.391,1.206,1.584,1.592,1.612,1.608,1.421
"2012-05-09 22:50:00",1.185,1.395,1.206,1.188,1.194,1.209,1.206,1.015
"2012-05-09 23:20:00",1.778,1.789,2.01,1.781,1.99,2.015,2.01,1.827
"2012-05-09 23:50:00",2.37,2.388,2.412,2.575,2.388,2.418,2.412,2.436
"2012-05-10 00:20:00",2.37,2.589,2.412,2.376,2.587,2.418,2.412,2.436
"2012-05-10 00:50:00",2.37,2.388,2.814,2.772,2.587,2.821,2.814,2.436
"2012-05-10 01:20:00",2.765,2.987,2.612,2.772,2.786,2.821,2.814,2.639
"2012-05-10 01:50:00",1.185,1.194,1.006,0.991,0.995,1.209,1.206,1.015
"2012-05-10 02:20:00",0,0,0,0,0,0,0,0
