"","X1","X2","X3","X4","X5","X6","X7","X8"
"2012-05-07 21:15:00",0,0,0,0,0,0,0,0
"2012-05-07 21:45:00",1.383,1.592,1.206,1.584,1.194,1.612,1.406,1.218
"2012-05-07 22:15:00",2.172,2.388,2.412,2.376,2.388,2.418,2.412,2.436
"2012-05-07 22:45:00",3.555,3.582,3.418,3.564,3.582,3.627,3.618,3.857
"2012-05-07 23:15:00",3.753,3.783,3.618,3.564,3.582,3.627,3.418,3.654
"2012-05-07 23:45:00",3.753,4.177,3.818,3.96,3.781,4.03,4.02,4.06
"2012-05-08 00:15:00",0.395,0.398,0.402,0.396,0.398,0.403,0.402,0.406
"2012-05-08 00:45:00",0,0,0,0,0,0,0,0
