"","X1","X2","X3","X4","X5","X6","X7","X8"
"2013-05-14 21:05:00",0,0,0,0,0,0,0,0
"2013-05-14 21:20:00",0.6,0.603,0,0,0,0.6,0,0.609
"2013-05-14 21:35:00",0,0.394,0.404,0.792,0.794,0.394,0.796,0
"2013-05-14 21:50:00",0.8,0.402,0.4,0.394,0.398,0.4,0.796,0.812
"2013-05-14 22:05:00",0.8,0.796,0.804,0.398,0.396,0.794,0.404,0.406
"2013-05-14 22:20:00",0.4,0.796,0.804,0.792,0.794,0.794,0.392,0.812
"2013-05-14 22:35:00",1.2,0.796,0.404,0.792,0.794,0.794,0.796,0.812
"2013-05-14 22:50:00",0.8,0.796,0.804,0.792,0.794,0.794,0.796,0.812
"2013-05-14 23:05:00",0.8,0.796,0.804,0.792,0.794,0.794,1.188,0.812
"2013-05-14 23:20:00",0,0.796,0.4,0.394,0.794,0.794,0.404,0.406
"2013-05-14 23:35:00",1.6,0.796,0.804,1.19,0.794,0.794,0.796,0.812
"2013-05-14 23:50:00",0.8,1.19,1.208,1.186,1.588,1.188,1.592,1.218
"2013-05-15 00:05:00",0.8,1.198,1.204,1.19,0.794,1.194,0.796,1.218
"2013-05-15 00:20:00",1.6,1.592,1.208,1.186,1.588,1.588,1.592,1.218
"2013-05-15 00:35:00",1.6,1.19,1.204,1.19,1.588,1.188,1.592,1.218
"2013-05-15 00:50:00",2.4,1.994,2.012,2.376,2.382,2.382,1.984,2.436
"2013-05-15 01:05:00",2.4,3.184,3.216,3.168,3.176,2.782,3.184,2.842
"2013-05-15 01:20:00",2.4,2.79,2.412,2.77,2.778,3.176,2.792,2.436
"2013-05-15 01:35:00",2.4,2.782,2.412,2.376,2.78,2.382,2.78,2.436
"2013-05-15 01:50:00",3.2,3.184,3.216,3.168,3.572,3.57,3.184,3.248
"2013-05-15 02:05:00",3.2,2.79,2.412,3.168,2.78,3.176,3.184,3.248
"2013-05-15 02:20:00",2.4,3.184,3.216,3.168,3.176,3.176,2.388,2.436
"2013-05-15 02:35:00",4,3.98,3.62,3.96,3.97,3.97,4.372,4.06
"2013-05-15 02:50:00",4.8,5.17,4.824,4.752,5.558,5.164,5.572,4.872
"2013-05-15 03:05:00",4.8,5.178,4.824,4.752,5.16,5.158,4.776,4.466
"2013-05-15 03:20:00",4.4,4.382,4.02,4.752,4.366,4.764,4.776,4.06
"2013-05-15 03:35:00",3.2,3.184,3.216,3.168,3.574,3.176,3.184,3.248
"2013-05-15 03:50:00",4,4.374,4.02,3.96,3.97,4.764,3.98,4.466
"2013-05-15 04:05:00",3.2,3.98,4.02,4.354,4.764,3.97,4.372,3.654
"2013-05-15 04:20:00",4,3.586,3.62,3.566,3.176,3.576,3.184,3.654
"2013-05-15 04:35:00",2.8,3.184,3.616,3.562,3.97,3.57,3.98,2.436
"2013-05-15 04:50:00",0.4,0.796,0.4,0.394,0.794,0.794,0.392,0.406
"2013-05-15 05:05:00",0,0,0,0.597,0,0,0.606,0
"2013-05-15 05:20:00",0,0,0,0,0,0,0,0
