"","X1","X2","X3","X4","X5","X6","X7","X8"
"2012-06-14 23:30:00",0,0,0,0,0,0,0,0
"2012-06-14 23:45:00",0.591,0,0.606,0,0,0.606,0.606,0
"2012-06-15 00:00:00",0.396,0.796,0.4,0.394,0.396,0.402,0.4,0.812
"2012-06-15 00:15:00",0.394,0.402,0.404,0.398,0.794,0.404,0.404,0.406
"2012-06-15 00:30:00",1.186,1.19,1.204,1.584,1.192,1.208,1.204,1.218
"2012-06-15 00:45:00",1.184,1.592,1.208,0.792,1.19,1.21,1.608,1.218
"2012-06-15 01:00:00",1.186,0.796,1.204,1.584,1.192,1.612,1.208,1.218
"2012-06-15 01:15:00",1.58,2.388,2.012,1.584,1.984,2.014,2.008,1.624
"2012-06-15 01:30:00",2.764,2.79,2.412,2.77,2.78,2.822,2.816,2.842
"2012-06-15 01:45:00",1.58,1.986,2.412,2.376,2.382,2.014,2.008,1.624
"2012-06-15 02:00:00",1.186,1.592,1.204,1.19,1.19,1.612,1.208,1.624
"2012-06-15 02:15:00",1.184,1.198,1.208,1.186,1.192,1.21,1.608,0.812
"2012-06-15 02:30:00",2.766,3.184,3.216,3.168,3.176,3.224,3.216,3.248
"2012-06-15 02:45:00",1.58,1.592,1.608,1.584,1.588,1.612,1.608,1.218
"2012-06-15 03:00:00",3.554,3.98,3.616,3.96,3.572,4.03,4.02,4.06
"2012-06-15 03:15:00",2.37,2.782,2.412,2.774,3.176,3.224,2.812,2.436
"2012-06-15 03:30:00",2.37,2.79,3.216,2.77,2.382,3.224,2.816,2.436
"2012-06-15 03:45:00",1.58,1.986,1.608,1.584,1.588,1.612,2.008,1.624
"2012-06-15 04:00:00",1.976,1.994,2.012,2.376,2.382,2.418,2.012,1.624
"2012-06-15 04:15:00",3.16,3.98,3.616,3.168,3.176,4.03,4.02,3.248
"2012-06-15 04:30:00",1.58,1.592,2.412,2.376,2.382,1.612,2.412,2.03
"2012-06-15 04:45:00",5.134,5.572,4.824,4.752,4.764,5.642,4.824,4.872
"2012-06-15 05:00:00",3.556,3.98,4.02,4.752,3.97,4.03,4.02,3.248
"2012-06-15 05:15:00",2.37,3.184,3.216,2.376,2.778,3.224,2.812,3.248
"2012-06-15 05:30:00",1.184,0.796,0.804,1.584,1.192,0.806,1.208,0.812
"2012-06-15 05:45:00",1.186,1.592,1.608,0.792,1.19,1.612,1.204,1.218
"2012-06-15 06:00:00",1.58,1.592,1.608,2.376,1.986,2.418,2.012,2.03
"2012-06-15 06:15:00",0.79,1.592,0.804,0.792,1.19,0.806,0.804,0.812
"2012-06-15 06:30:00",0,0,0,0,0,0,0,0
