"","X1","X2","X3","X4","X5","X6","X7","X8"
"2012-06-30 18:05:00",0,0,0,0,0,0,0,0
"2012-06-30 18:20:00",4.74,4.776,4.824,5.343,4.764,4.836,5.424,4.872
"2012-06-30 18:35:00",6.32,7.96,7.636,7.526,7.146,7.656,7.64,6.496
"2012-06-30 18:50:00",4.74,3.98,4.424,4.354,4.366,3.628,4.02,4.06
"2012-06-30 19:05:00",4.74,4.374,4.02,4.752,4.368,4.836,4.42,4.06
"2012-06-30 19:20:00",3.16,3.184,3.216,2.774,3.176,2.82,2.816,3.654
"2012-06-30 19:35:00",2.37,1.797,1.206,1.779,1.191,1.815,2.412,1.827
"2012-06-30 19:50:00",0,0,0,0,0,0,0,0
